round,trial,peak_fitness,elapsed_s,alg_probMoo,prob_addConn,prob_addNode,prob_enable,prob_mutAct,prob_toggleExcitatory,prob_initEnable,select_cullRatio,select_eliteRatio,select_tournSize
0,3,-56.0,24.0,0.5568266089981493,0.4719337196066822,0.36530635028753916,0.009441177301613975,0.40190149534170316,0.15250935013395525,0.6328203539296374,0.16868412294992544,0.16944076864388066,16
0,0,-37.2,25.5,0.31253550399881835,0.47733989645176705,0.15698994642799058,0.00865597720756119,0.5279560602393772,0.047850355759978085,0.21038546931385807,0.31844705375006405,0.21182817827294764,7
0,7,-65.3,25.5,0.6487586634970671,0.4811983939001399,0.19401597750082383,0.14863418530462658,0.5972058453178754,0.2884654784195004,0.6963125110225343,0.3471141516246099,0.17140800112647137,7
0,1,-66.9,27.0,0.49929303391681384,0.11716980135796368,0.314799850459064,0.11351845348660695,0.4709032870002142,0.2600848638681342,0.3570181025078653,0.23428254038560392,0.17715600884809796,4
0,4,-62.1,27.0,0.5526743002391574,0.49230565245309876,0.2244965388527132,0.07089733182230613,0.11277181026544535,0.1415710969534653,0.4008474280556113,0.06465587893236607,0.2701513072042343,14
0,5,-146.0,37.6,0.10777007624599286,0.1406942395990428,0.2472543418114152,0.017939484158993123,0.6144840266874316,0.07096237621094383,0.6739828480972747,0.19590894838685557,0.39020284117561443,7
0,6,-90.9,40.6,0.05914968426943076,0.3842819254820819,0.39320095475561023,0.009705944482409112,0.2967408511904322,0.2931071568294656,0.5212157592661013,0.4542710537327192,0.05265658302199767,2
0,10,-100.0,31.6,0.4153452476546636,0.3226708397197567,0.24213370959062486,0.10782042978354622,0.11602639200366527,0.15481435518108594,0.512178992225119,0.21543895161972165,0.22600716634829682,8
0,9,-105.0,34.7,0.2956948291471977,0.4936806779568212,0.3712080237899408,0.018307681006328597,0.6874340052289771,0.2051061766517034,0.2659939274745782,0.17046782450596915,0.08142233640137171,11
0,13,-117.0,33.0,0.2091256770419055,0.4063057945441581,0.24216154490061415,0.15133279305942257,0.27019590079269384,0.09500353712810519,0.511993783373017,0.3735331899552804,0.16259792462701533,16
0,12,-122.0,37.6,0.3824693123583662,0.4360726307033204,0.33046102966996127,0.04602804226412859,0.44203811004943716,0.11599138060467082,0.6526661401789577,0.3913113143844149,0.13496378701632916,13
0,16,-77.5,34.5,0.31064559715168005,0.2156980402880524,0.1113632863976514,0.049396417352750424,0.22431885339258223,0.06629351071542273,0.4285512422379812,0.4983510205678059,0.11923888033134393,5
0,17,-38.3,34.5,0.18840498113059168,0.3721208125533654,0.30057545003013647,0.22424537721337764,0.35917426789917234,0.18774179235370816,0.21189096989316136,0.06182839707525578,0.20522848348571507,13
