agent,n_episodes,mean,std,median,min,max
snn,100,1140.3830113999998,599.2862514312162,1459.1219999999998,1.284543,1593.403
ann,100,1286.36854275,682.7109795906155,1685.707456,-1.1222930000000002,1899.147818
