round,trial,peak_fitness,elapsed_s,alg_probMoo,prob_addConn,prob_addNode,prob_enable,prob_mutAct,prob_toggleExcitatory,prob_initEnable,select_cullRatio,select_eliteRatio,select_tournSize,snn_window_ms,snn_tau_exc,snn_tau_inh,snn_ttfs_threshold
0,5,215.0,42.1,0.6662782426027499,0.4735238813527653,0.14179456289273032,0.020275070743577643,0.6707761135769621,0.2630346041047773,0.497792141065566,0.1644995726465716,0.1262338508844182,12,76,4.377384270987991,22.051474784973074,3.1252998373909225e-05
0,8,337.0,129.2,0.3318069915953709,0.15510546431481692,0.33411271954693267,0.05590802880569587,0.6336879569337629,0.2074411146903286,0.4118960269993265,0.07921659251813547,0.18221123541694417,8,43,2.0699319536166443,7.3464908886277165,0.00010591860215621299
0,4,923.0,327.4,0.6609612331050884,0.4152758600694219,0.07130532704456963,0.07337321534893035,0.2803931775507758,0.2744956624822779,0.7437098672889813,0.25560923825096765,0.22672916231032758,11,79,5.807070673592833,28.59121596173873,0.00018298899385773234
0,1,1440.0,738.9,0.43844027873936214,0.314409113379501,0.2859868668217246,0.012845708119572596,0.4664051115585077,0.11385203511594741,0.3466616618680047,0.3027023378223948,0.23124944709567297,5,75,5.2040648347555125,23.246284173538978,0.00031825268761497417
0,18,719.0,217.7,0.43263212702403936,0.14435717354891572,0.3806283266375783,0.04919163570426502,0.5017048929440298,0.18725431122413225,0.42483022156585326,0.14877974540953698,0.2388898094736075,12,33,2.681377702374297,7.202747664493952,6.54765032742287e-05
0,7,779.0,1060.3,0.42772892163151593,0.15186234502375198,0.1012288721558646,0.24576078109375538,0.4539566681604781,0.09522408868762447,0.49078868173565576,0.2437175419253242,0.29577358820763056,11,79,10.684084151378054,21.775872808930462,9.317647652631747e-05
0,21,1400.0,312.3,0.3800777031234213,0.3931388923670224,0.31149453933272814,0.02868623079643242,0.6154741593487778,0.0780665199580424,0.39272543993816134,0.4523129539653702,0.1528012747411171,6,71,6.778399656387355,23.333201165890614,0.0006731434661335251
0,23,369.0,543.6,0.5852052305117398,0.3920758346241243,0.22151304862980065,0.021434938027831703,0.3515424671103842,0.08361841511981496,0.4719551055859647,0.32770054010355776,0.23372652009154551,7,67,2.609822270253548,15.736030731928253,8.651374122367866e-05
0,22,1300.0,603.6,0.4990513871464579,0.275495852957027,0.28556713710042686,0.005068311638749425,0.5792981722894042,0.13201160767075237,0.2981644639765696,0.2610188943852722,0.29289019708427605,6,78,8.804868995653553,26.659358405490746,0.0008187176277307957
0,19,613.0,809.5,0.25861376675873776,0.3398973418639827,0.2852365680678158,0.005038023162408536,0.3773542410083657,0.10720026873963882,0.38129631129743763,0.25623500166523583,0.1462075125722265,5,66,4.7593588239022,24.706287879497726,1.682178944648808e-05
0,26,583.0,513.6,0.29912402860499354,0.31862447921158193,0.33543139942672845,0.043190338958553565,0.5330511192586924,0.042402187212399675,0.41267540181288453,0.24083839995869802,0.2386524516246089,2,70,2.7532093667716833,26.40544898894419,0.003336418012142326
0,28,935.0,298.7,0.40294327752477826,0.4663792922136061,0.38552418425424495,0.012330648580681404,0.6150492689856262,0.11036165452332206,0.283620806926197,0.44952301139344675,0.08261369962560505,4,71,6.168978070276635,20.736230321900027,0.024111088354476076
0,9,1380.0,1670.0,0.3753477536210905,0.1891623932631603,0.36092478378838855,0.13913382498453805,0.43148596004218576,0.08869394859111125,0.6569314205225285,0.18527396310125,0.22853936191260305,6,62,10.961923150517105,21.4988695330471,0.0013211556878441157
0,2,1410.0,2072.3,0.4052392444671668,0.20835766011072426,0.14336959182350067,0.21048733435545577,0.21225660966538956,0.1925274091183556,0.5141104815247048,0.4379678548562184,0.1768624813554635,4,64,12.712569728368763,23.497230325733394,0.00022379048769141248
0,27,1460.0,873.8,0.2990570258766853,0.43812623160096903,0.17700780417885648,0.015266567175729905,0.41451491420726294,0.1372070177235814,0.3810110414979703,0.4770279631949034,0.18064272171018297,3,76,5.624861411858758,22.852947108773904,0.06258228354450403
0,29,1090.0,1073.2,0.2569575347829581,0.28703951403690214,0.3635351382380182,0.026024408710339977,0.6681661420955709,0.08448549493839355,0.28522204977665694,0.43782683755464413,0.161385083285322,11,70,11.561198342978631,22.86594918594722,0.0003467304443014245
1,2,321.0,147.3,0.40364117027210444,0.412648773886276,0.39992250975392196,0.048919439908485275,0.4245545935351718,0.11436628933828717,0.2761015301425343,0.07695211301657447,0.231167959113453,10,25,8.841699531704379,23.400998609923118,0.02183166147263581
1,0,592.0,282.3,0.3683858990390403,0.49243347829568307,0.09930418893775612,0.06278782994981592,0.2479563960492665,0.2587477431351222,0.27312511960780617,0.179002109726972,0.1681819934659079,11,75,12.274182834590505,21.830571755981293,0.29514691431977697
1,4,269.0,358.9,0.08426613056324353,0.05661323923993722,0.09686450913889205,0.026567048402810087,0.4191067363771732,0.025202891547025513,0.7461292973379727,0.31470582202768715,0.271660190587195,6,28,6.2028328922366684,21.131902618456518,0.0007169519205620108
1,9,296.0,126.1,0.14474750225784835,0.05817524344097373,0.28235542629669563,0.016576498169509166,0.53842134819857,0.04536696475999003,0.6391585241870152,0.08581809287376807,0.24198687880199604,12,35,5.882808332332342,7.391077762571056,3.032853050442781e-05
1,3,764.0,557.1,0.12667049627585136,0.4824118132641047,0.2946042451804,0.14498474912295659,0.2837393662261871,0.26407853265555997,0.47205783308094995,0.30573547065699025,0.21324238370127202,9,55,11.033866773239357,5.749379566669478,0.2251712952655364
1,7,1260.0,561.7,0.3247009401289063,0.31059800476186367,0.35429262472989453,0.03883247901368384,0.35923591727933424,0.09928432975039564,0.7321422280732588,0.1915151290928332,0.2941846846258928,16,64,4.697360438600682,26.557248759438366,0.02187851718585719
1,15,267.0,144.2,0.11549275104531315,0.42259377157747435,0.17415010009460416,0.042099417766033695,0.1663596410610422,0.28363193544709286,0.34619268155529337,0.1957797596289592,0.06268609447245284,7,62,12.774180587649205,23.401464070114837,0.0009115761863552953
1,16,369.0,486.6,0.10847573489617386,0.4788988747043896,0.3134321022147676,0.10845216620297314,0.34537788576378275,0.214334652426184,0.6783126492811766,0.2693230821253391,0.09060356936990704,14,40,12.441945164466699,8.751634609005205,0.05207612037574681
1,17,477.0,788.5,0.20319253127665057,0.405435771496883,0.36931629629171026,0.023928860697865355,0.5019739091420485,0.08642816715900646,0.5449538887553412,0.11150546895880627,0.20615769319351224,14,47,5.032521354260542,29.40133231321001,0.032467547337455
1,18,1460.0,844.0,0.19667391179274663,0.3803291210181454,0.22349123383573516,0.052802837660532266,0.1957635166267807,0.26495847862280253,0.44933858881289035,0.33179009897951417,0.18644054212708083,6,66,11.7120564894072,5.867877686830972,0.09465736574837808
1,25,751.0,426.5,0.2357690712459846,0.4957942151109305,0.344414232862944,0.03803587770948525,0.4716079302958028,0.2169480017701671,0.5572935750346061,0.28389107076564235,0.11295678582754616,5,46,7.259322383928386,4.523916449886059,0.12033367477506762
1,26,309.0,399.5,0.1597264750963338,0.45879917749000554,0.3026972321695666,0.0548730761816812,0.19972087721346807,0.031991204868576165,0.7521440992416566,0.2143525200986894,0.261807660723155,15,65,6.624577321171174,28.39263243506695,0.0006970358968936034
1,12,766.0,1333.4,0.22232787453727176,0.10030932494720379,0.30245865383911574,0.011587903948922248,0.20487150098495205,0.2601114827789056,0.40433608743607763,0.4091165253303316,0.12324459632371446,15,50,5.5690710488443935,16.076589498920562,5.5551355220089905e-05
