agent,n_episodes,mean,std,median,min,max
snn,100,1226.1806473989998,479.33410795975294,1419.6355,0.5047469,1569.763
ann,100,1286.36854275,682.7109795906155,1685.707456,-1.1222930000000002,1899.147818
