boot_mean_snn,boot_mean_ann,boot_diff,boot_ratio_pct_literal,boot_ratio_pct_signed
1092.96826766,1301.88243315,-208.91416548999996,83.95291616428706,83.95291616428706
1204.6298986900003,1261.39554764,-56.76564894999956,95.49977411477273,95.49977411477273
1132.4674854099999,1264.42464291,-131.95715750000022,89.56385750310051,89.56385750310051
1225.8131688199996,1160.86069663,64.95247218999975,105.59519952553809,105.59519952553809
1118.3897897100003,1348.89984683,-230.5100571199996,82.91125485248494,82.91125485248494
992.11651776,1316.7058767800002,-324.5893590200002,75.34837773992606,75.34837773992606
1050.0535254299998,1251.3440278999997,-201.29050246999986,83.9140557686758,83.9140557686758
1095.63640399,1351.1042077000002,-255.46780371000023,81.09192449745339,81.09192449745339
1122.18578415,1081.21254356,40.97324058999993,103.78956393301648,103.78956393301648
1084.4969271700002,1354.32252001,-269.8255928399999,80.07671076472926,80.07671076472926
1108.17910013,1303.61818692,-195.43908678999992,85.00795027631864,85.00795027631864
1115.3766365900003,1172.90453748,-57.52790088999973,95.09526145976047,95.09526145976047
1177.1802745100001,1293.1456176899999,-115.96534317999976,91.03230590634074,91.03230590634072
1165.98732854,1217.2209505399999,-51.23362199999997,95.79093491799733,95.79093491799733
1130.9531243400002,1335.4170004700002,-204.46387613000002,84.68913634781953,84.68913634781953
1065.9452255299998,1291.1171481499998,-225.17192262000003,82.55991542342679,82.55991542342679
1173.0895433800004,1330.14483056,-157.0552871799996,88.19261755775285,88.19261755775285
1146.96496054,1240.95384452,-93.98888398000008,92.42607737628188,92.42607737628188
1132.9318753399998,1351.9972372299997,-219.06536188999985,83.79690757809345,83.79690757809345
1103.8246138900001,1354.0562222600001,-250.23160837,81.51985092964983,81.51985092964983
1148.82642589,1302.68369394,-153.8572680499999,88.18920749789577,88.18920749789577
1126.30821986,1322.82572228,-196.51750242000003,85.14411240195075,85.14411240195075
1126.7607627,1318.66912962,-191.90836691999993,85.44681432139826,85.44681432139826
1068.04627439,1384.3665776599998,-316.32030326999984,77.15053885476799,77.15053885476799
1116.2270670799999,1350.0630916199998,-233.83602453999993,82.67962245679867,82.67962245679867
1162.90360865,1347.0342822299997,-184.13067357999967,86.33066166102518,86.33066166102518
1095.73121022,1223.8749917999999,-128.14378157999977,89.52966745471824,89.52966745471824
1197.108194,1301.3687386099998,-104.2605446099999,91.98839333413208,91.98839333413208
1150.6701306799998,1304.9596161099998,-154.28948543,88.17668504639806,88.17668504639806
1121.87049007,1264.4203532,-142.54986312999995,88.72607018945604,88.72607018945604
1193.9238540800002,1272.5905268299998,-78.66667274999963,93.81838296832548,93.81838296832548
1207.18354897,1357.9709417800002,-150.78739281000026,88.89612522839765,88.89612522839765
1169.9000367600001,1280.77477086,-110.87473409999984,91.34315130008761,91.34315130008761
1075.6003128300001,1365.6341582300001,-290.0338454,78.76196610548222,78.76196610548222
1174.1693425400001,1326.90264226,-152.73329971999988,88.48948710661527,88.48948710661527
1136.4968660499999,1327.4961979,-190.9993318500001,85.61206185357466,85.61206185357466
1070.2249728799998,1234.74047432,-164.5155014400002,86.67610685309374,86.67610685309374
1091.4578301400002,1437.9104599099999,-346.4526297699997,75.90582727997649,75.9058272799765
1130.5772096399999,1397.78357808,-267.20636844000023,80.88356648122624,80.88356648122624
1071.85391605,1344.48882885,-272.63491279999994,79.72203956256025,79.72203956256025
1137.9564545400003,1349.92157096,-211.96511641999973,84.29796804645026,84.29796804645026
1173.3457741200002,1306.87958952,-133.53381539999987,89.78224034786211,89.78224034786211
1121.86520375,1307.63731184,-185.77210808999985,85.79330014462523,85.79330014462523
1155.3415855700002,1319.3494865999999,-164.00790102999963,87.56903286841361,87.56903286841361
1223.89382947,1275.8253549699998,-51.93152549999991,95.9295741146937,95.9295741146937
1101.2947276300001,1219.9565851999998,-118.66185756999971,90.27327209758482,90.27327209758482
1132.2005563400003,1440.3700383799996,-308.16948203999937,78.6048394628785,78.6048394628785
1078.87166498,1377.9144166800002,-299.04275170000005,78.29743646775064,78.29743646775064
1042.97290786,1231.4998457699999,-188.5269379099998,84.69127393254989,84.69127393254989
1112.6673185,1228.4966162599999,-115.82929775999992,90.57145976416058,90.57145976416058
1054.40286244,1237.83603602,-183.4331735799999,85.18114126247363,85.18114126247363
1054.77258803,1318.7142667399999,-263.9416787099999,79.98492278676173,79.98492278676173
1120.96383375,1193.7468364299998,-72.78300267999975,93.90297838211129,93.90297838211129
1183.17438435,1252.2743195599999,-69.09993520999979,94.48204485784882,94.48204485784882
1190.5765669599998,1301.03055471,-110.45398775000012,91.5102695051908,91.5102695051908
1030.27805553,1261.6402915,-231.36223597000003,81.66179080291364,81.66179080291364
1010.01836606,1301.9954443100003,-291.9770782500003,77.57464670663767,77.57464670663765
1171.06093781,1292.87802614,-121.81708832999993,90.57783597005702,90.57783597005702
1195.95529108,1308.9312232099999,-112.97593212999982,91.36884122506149,91.36884122506149
1219.71195411,1318.3477563200001,-98.63580221000007,92.5182258067227,92.5182258067227
1035.4250769500002,1252.3715262999997,-216.9464493499995,82.67714932876628,82.67714932876628
1212.04470187,1330.2025175799997,-118.1578157099998,91.11730626363864,91.11730626363862
1170.17979807,1408.02888314,-237.84908507,83.10765582169164,83.10765582169164
1136.77509585,1300.8490805199997,-164.07398466999962,87.38716219068142,87.38716219068142
1194.7475811400002,1398.32984726,-203.58226611999976,85.4410412164973,85.4410412164973
1029.69279882,1282.4493001199999,-252.75650129999985,80.29111160368295,80.29111160368295
