round,trial,peak_fitness,elapsed_s,alg_probMoo,prob_addConn,prob_addNode,prob_enable,prob_mutAct,prob_toggleExcitatory,prob_initEnable,select_cullRatio,select_eliteRatio,select_tournSize
0,1,98.8,106.6,0.607977329607347,0.46588054312197613,0.07204490952938711,0.011740907638913604,0.15526302246430362,0.2018755807190039,0.6667339284814375,0.32741499751861386,0.33264092776691095,9
0,6,101.0,112.6,0.3923784815072766,0.37485059079467586,0.1728407878792854,0.05917308863137671,0.6329681417540888,0.28161526222596023,0.2224277488380317,0.3088577742868848,0.2470439635029869,9
0,0,92.5,193.7,0.5282408662072291,0.1889418244378004,0.31674619917690233,0.0286489118584588,0.6814534145851076,0.11691652794638774,0.21895959292128125,0.20957236680024616,0.09475557587842504,7
0,4,83.8,232.8,0.37349423498938095,0.28761889196074775,0.2786894716480948,0.042173649774068844,0.17634200610633333,0.10387195570220395,0.40833921056477696,0.38331736771617636,0.1457875600711592,8
0,7,90.6,250.8,0.34295884743841415,0.3595794725360081,0.35895782597039116,0.05593505975493647,0.500524362462061,0.1864481303820791,0.7402247587452897,0.3392356005662891,0.22146077573521022,3
0,3,111.0,262.8,0.2028495432657571,0.057980396142526605,0.22671948885514137,0.009300178095975475,0.6481164908307377,0.1574495971240228,0.7481426517495966,0.25659891409484786,0.1164941324290986,13
0,5,72.4,264.3,0.2150793272111311,0.3051161804804357,0.300456520248893,0.024836225363487376,0.46444598266922144,0.22332374008455724,0.3909144361793856,0.19877651766263205,0.07072572485858832,4
0,9,179.0,274.8,0.2745945418557959,0.2022054370589903,0.26674372515311434,0.08338440067782664,0.33370906073639867,0.03461375514956236,0.5457928013232708,0.2754381893180161,0.3174651969172244,16
0,8,114.0,319.9,0.15967631969867563,0.26624297350919707,0.23681404944139534,0.04991749933218633,0.2967763064738801,0.15217623881541717,0.7791417022130815,0.14160304363337256,0.3238059153480613,7
0,2,85.6,488.1,0.0652693095792827,0.25688389097670256,0.18370501654747545,0.009233933810570917,0.12033564577466593,0.021177536804654756,0.6994482137251494,0.45893280742263287,0.357358326585218,14
