trial,peak_fitness,alg_probMoo,prob_addConn,prob_addNode,prob_enable,prob_mutAct,prob_toggleExcitatory,prob_initEnable,select_cullRatio,select_eliteRatio,select_tournSize
0,-142.0,0.5136757563072876,0.11283612121050013,0.3621843219052686,0.08292789836227067,0.6711070592454524,0.1822113497220609,0.3269123923571427,0.21975109768772866,0.2344607839178196,10
1,-132.0,0.49080428039720714,0.1447335222891637,0.3017892800422764,0.026082364196937966,0.26463194066930673,0.09628938315641594,0.4287445725950309,0.33579846295055005,0.2652008612262259,7
3,-139.0,0.6766471163646817,0.41199576429633555,0.13949651439154714,0.06514987738812303,0.34601774987822853,0.15557178953510215,0.4436529412303322,0.39049699339671484,0.2499629520489025,6
2,-210.0,0.4777446836020934,0.07494019807029065,0.3525717908812611,0.028339139265001295,0.31938284860897465,0.08983769934112362,0.6368277755423148,0.42230845991159355,0.08287660847061659,15
5,-192.0,0.18262788421085174,0.2340656800760229,0.1523259255951455,0.0256918984724737,0.23342835160273015,0.2547028137303323,0.7125410138795056,0.117026421505779,0.398288159555146,11
6,-194.0,0.1679526487806592,0.26827331079749467,0.3639771215526373,0.04179822849196184,0.6903541731536987,0.26056162895185003,0.23652762961944596,0.3955209597095882,0.09796705838408688,10
7,-198.0,0.35613523866685215,0.17996954395957523,0.2685402871186956,0.01155544209881753,0.10303074885884483,0.11948390727046904,0.5161564190736114,0.2671725211625742,0.33863995697596383,2
4,-193.0,0.10146866422473814,0.38018152146436496,0.3241170750885526,0.08607884443097619,0.20942647644419593,0.04448334396818196,0.7544532327014506,0.13209329816574178,0.10814294313666803,5
8,-128.0,0.6955095908142479,0.33464119382828184,0.0532304420948948,0.24730336155007276,0.4796302241181797,0.025543458040150513,0.4476126682440923,0.498308718077369,0.1775896673033598,16
11,-44.3,0.6921414625919978,0.35275778381195794,0.06422178339998169,0.2444149680768962,0.4948231477935321,0.024031915382142135,0.2010236845671245,0.49672544588438516,0.1675222700792828,16
9,-169.0,0.34771106679284336,0.4712602576942129,0.2610349899183152,0.011050672733373802,0.4993154895457826,0.1990867369968592,0.5687184689642034,0.32162271888787625,0.29914934599670673,6
10,-117.0,0.5353360546254231,0.16084437526102757,0.1945654254128301,0.16142714289610335,0.10614143052729796,0.08793690176565297,0.35049834714329564,0.22236892436457348,0.17766333872469825,13
12,-206.0,0.6030647414397541,0.49071256899353594,0.06764879110465671,0.14334142504288758,0.5644134906632352,0.05397047048073766,0.2501771272776494,0.4821618042665303,0.16407416886060047,13
13,-203.0,0.6982232013712788,0.33649886252982425,0.06895974796303057,0.2260956531609464,0.46094460496463346,0.020848461852909665,0.3497921545743902,0.4962234255424151,0.1719465381410874,16
15,-124.0,0.5896302674261665,0.2991135736690505,0.12156197291137852,0.1471812635972141,0.3968984748971697,0.132539597333695,0.2053908356399635,0.21452073939682537,0.19552196302882918,13
14,-143.0,0.5775666820060839,0.18968984468473604,0.18492178651180596,0.14030256718883458,0.1297784114351645,0.06988392519172353,0.320432966192022,0.19156884536539104,0.1429616438244713,13
17,-206.0,0.4181305012909589,0.22963052859731187,0.10160070041482056,0.1057254036940423,0.4057663934334773,0.06203935947005773,0.3860540024422428,0.07549730111874792,0.13011567119962636,12
16,-203.0,0.4038977444391706,0.055443897739391124,0.21523914244148376,0.19211494280707622,0.5773008089118249,0.08872395991581312,0.30307162120524983,0.27677090643739477,0.06123389608769239,14
18,-134.0,0.28577913766023866,0.3844868812671833,0.18321250556297652,0.1805012635175163,0.5697279586547748,0.29628015301173405,0.2692639906179093,0.1706524653598225,0.22327601204329653,8
19,-136.0,0.6141486136691041,0.43324824128549433,0.22512078651413356,0.04767090060459681,0.16937110243166076,0.12489033766556065,0.3791185439744933,0.2684329841786099,0.1982031743296357,15
