agent,n_episodes,mean,std,median,min,max
snn,100,1132.8147607839999,483.4245249970339,1368.3335000000002,0.3568034,1462.659
ann,100,1286.36854275,682.7109795906155,1685.707456,-1.1222930000000002,1899.147818
