weight_idx,weight_val,shaped_mean,shaped_std,shaped_min,shaped_max,orig_mean,orig_std,orig_min,orig_max
0,0.5,-45.70,10.90,-62.29,-33.88,-77.20,11.71,-95.00,-65.00
1,1.0,-45.57,9.17,-60.79,-34.16,-76.90,9.53,-95.00,-65.00
2,1.5,-45.54,9.20,-60.79,-34.16,-76.90,9.53,-95.00,-65.00
3,2.0,-43.82,7.85,-60.79,-34.16,-75.40,8.48,-95.00,-65.00
4,2.5,-43.25,7.43,-55.18,-34.16,-75.40,8.48,-88.00,-65.00
5,3.0,-43.25,7.43,-55.18,-34.16,-75.40,8.48,-88.00,-65.00
