trial,peak_fitness,alg_probMoo,prob_addConn,prob_addNode,prob_enable,prob_mutAct,prob_toggleExcitatory,prob_initEnable,select_cullRatio,select_eliteRatio,select_tournSize
0,-38.8,0.6716122876566105,0.12438871677033267,0.31356579457558004,0.005966622696083095,0.6985469641688438,0.14687782700673127,0.38857920638582266,0.4710899922522898,0.32438300250129243,13
2,-71.4,0.5066994441579254,0.19996096220000387,0.12848509546151168,0.18050575931545593,0.33690860689795166,0.09797721988548834,0.47512566611595874,0.3889175346530109,0.3014103496159205,5
1,-40.1,0.6584568813205949,0.07857030151220362,0.31551979283309056,0.013344662152755583,0.14040447191328542,0.051672734633542425,0.5754291760525033,0.354703025451301,0.3301011825623233,2
3,-57.7,0.6098485293465167,0.32996412707748235,0.2478637817647666,0.039235702901174924,0.12467052078667101,0.04607706402874331,0.5296915505500035,0.25348540269722164,0.3792354330864254,3
5,-60.2,0.19284694040037714,0.15459320685930394,0.0929261456444076,0.01259188726523822,0.10513371446911146,0.15560299004219813,0.7160179840620979,0.2993102071375636,0.35171436991303034,14
4,-68.0,0.05575247422163416,0.16686450888372828,0.1319057038613709,0.03902342653135565,0.6618790833358629,0.0992511874983037,0.5263807679391936,0.47590702967132087,0.12948992021824915,7
7,-40.6,0.4304666789860322,0.4936192239497438,0.3924436376937905,0.005006777559120581,0.6919786335615552,0.23950805612670462,0.2642134200487436,0.12899298271644796,0.19438403859222603,16
6,-66.7,0.33304125775645693,0.1257808821135482,0.31271876818244154,0.006479670078204775,0.4773453403669774,0.27145133595877047,0.2592380832888107,0.4699324398242354,0.3878782470826145,12
8,-38.5,0.6960586830888524,0.30536785743229383,0.21992314681448616,0.18625972873450405,0.5237715780422907,0.1973768910532472,0.3779869714694904,0.07734175757645378,0.252897762642571,10
10,-37.7,0.524797060739819,0.05446253439216536,0.24354272956256906,0.07176950572197806,0.573776561182386,0.2984514023055136,0.3869663010881823,0.3815729019660871,0.24105831120896232,13
11,-65.1,0.21192237710019637,0.2948553951857614,0.1956024887219029,0.20670102003534446,0.4668136301731504,0.2190069057595148,0.3673339461198306,0.05616524705018709,0.2446846011815746,9
9,-64.6,0.33647611298452734,0.4179242445230913,0.3833590260777243,0.020051959749180216,0.3266569148163423,0.16513807936289965,0.7944054687118638,0.1937736686657004,0.05732063437651477,10
12,-60.6,0.5351906798556021,0.06127845261103138,0.05782472809303099,0.08981383212803289,0.575231242353322,0.2926980599087435,0.6474729606957366,0.38253901950602825,0.17616830202255446,16
13,-38.9,0.5726649271183228,0.23634866461591864,0.21626431262480883,0.07383113998614062,0.5377967061426933,0.2018718535624956,0.39718423001841485,0.06412529750983345,0.26509238061461243,11
14,-38.7,0.45356780451764794,0.34921585602566474,0.24547125417458318,0.10110132222469351,0.576498752248338,0.2569209378730275,0.3219865649389344,0.21769703462366055,0.2732036377584487,7
15,-75.1,0.6982975346485428,0.2511136558642796,0.19527991480045853,0.15120483037383928,0.37052565938614757,0.2970781992567738,0.47801791528766235,0.3246723793244364,0.2128652413336079,8
16,-64.8,0.6217827210309316,0.392218261556758,0.16466221208412332,0.05853899091537225,0.23699503415682138,0.2006967704109121,0.22180876435099559,0.13895166667947126,0.1317931730614462,14
18,-59.5,0.5798075114845109,0.4426605024503907,0.2624740449602782,0.12144173314616263,0.6174925135546737,0.1818688858856176,0.3239633743427423,0.26783517715430005,0.23747077062365268,14
17,-66.4,0.4948591075363038,0.29414301308521273,0.28455284974287676,0.24957937837874344,0.44973487782536437,0.11867657236719953,0.43144228914225147,0.4213358034307114,0.15678007908861297,11
19,-63.7,0.4065286815280036,0.22848928052884548,0.35327863478480015,0.06357855920090245,0.5156014557564759,0.2267454613665623,0.32487929782994157,0.14381051371546322,0.28410818486619294,9
