seed_idx,peak_fitness,alg_probMoo,prob_addConn,prob_addNode,prob_enable,prob_mutAct,prob_toggleExcitatory,prob_initEnable,select_cullRatio,select_eliteRatio,select_tournSize
0,1070.0,0.3680163117270428,0.1970581737212541,0.0974511131252879,0.0429515004676073,0.3661098899709588,0.2606581493827585,0.4043471264590473,0.1495996018829641,0.3395849254255554,11
1,1200.0,0.3680163117270428,0.1970581737212541,0.0974511131252879,0.0429515004676073,0.3661098899709588,0.2606581493827585,0.4043471264590473,0.1495996018829641,0.3395849254255554,11
2,1480.0,0.3680163117270428,0.1970581737212541,0.0974511131252879,0.0429515004676073,0.3661098899709588,0.2606581493827585,0.4043471264590473,0.1495996018829641,0.3395849254255554,11
3,837.0,0.3680163117270428,0.1970581737212541,0.0974511131252879,0.0429515004676073,0.3661098899709588,0.2606581493827585,0.4043471264590473,0.1495996018829641,0.3395849254255554,11
4,1150.0,0.3680163117270428,0.1970581737212541,0.0974511131252879,0.0429515004676073,0.3661098899709588,0.2606581493827585,0.4043471264590473,0.1495996018829641,0.3395849254255554,11
5,1520.0,0.3680163117270428,0.1970581737212541,0.0974511131252879,0.0429515004676073,0.3661098899709588,0.2606581493827585,0.4043471264590473,0.1495996018829641,0.3395849254255554,11
6,1080.0,0.3680163117270428,0.1970581737212541,0.0974511131252879,0.0429515004676073,0.3661098899709588,0.2606581493827585,0.4043471264590473,0.1495996018829641,0.3395849254255554,11
7,1480.0,0.3680163117270428,0.1970581737212541,0.0974511131252879,0.0429515004676073,0.3661098899709588,0.2606581493827585,0.4043471264590473,0.1495996018829641,0.3395849254255554,11
8,994.0,0.3680163117270428,0.1970581737212541,0.0974511131252879,0.0429515004676073,0.3661098899709588,0.2606581493827585,0.4043471264590473,0.1495996018829641,0.3395849254255554,11
9,1070.0,0.3680163117270428,0.1970581737212541,0.0974511131252879,0.0429515004676073,0.3661098899709588,0.2606581493827585,0.4043471264590473,0.1495996018829641,0.3395849254255554,11
10,1110.0,0.3680163117270428,0.1970581737212541,0.0974511131252879,0.0429515004676073,0.3661098899709588,0.2606581493827585,0.4043471264590473,0.1495996018829641,0.3395849254255554,11
