trial,peak_fitness,alg_probMoo,prob_addConn,prob_addNode,prob_enable,prob_mutAct,prob_toggleExcitatory,prob_initEnable,select_cullRatio,select_eliteRatio,select_tournSize
2,-78.0,0.6961851956015868,0.31311445053085957,0.05411970379759691,0.07661582070630545,0.19211890731680598,0.12115554846128507,0.47809604128268685,0.06557148158169751,0.16813053741453063,13
0,-157.0,0.10714590814653113,0.4949911755645031,0.07173520645275366,0.05144573270196516,0.6817173579177355,0.23165748628534455,0.26808776359810105,0.36568312697686967,0.24379668961391687,8
3,-164.0,0.6883646381610422,0.39862502729629046,0.15446243252836594,0.04294192862278844,0.6196735423559943,0.1071949839753545,0.7242134735144898,0.1295142392703708,0.11069762836878883,3
1,-78.4,0.4395650377773081,0.4991601946924719,0.3099935434285396,0.15474145697133182,0.1337012146242242,0.09862212663334308,0.2151426169629057,0.16310248318640688,0.09851172511961795,12
4,-127.0,0.47487807901147117,0.2833129757185043,0.11007818635049663,0.09385244547792641,0.6350327645673118,0.08132775947738745,0.39576891226489747,0.2599950900215761,0.3165610371652483,11
7,-157.0,0.6898796040767528,0.10084543787671355,0.39662173227471986,0.009068423576100144,0.27594395169639396,0.27185467417030146,0.7875586472223859,0.05277479396295218,0.17544491191096165,16
6,-157.0,0.05779415705618897,0.4676266015421251,0.24535030074178754,0.14234082872186835,0.4360953596802126,0.19300890661937997,0.5240488668404053,0.4133538332963128,0.28586758221274183,15
9,-175.0,0.5591083696447623,0.20820876736934746,0.08418646085539841,0.019807261731001655,0.2823449923861095,0.0326558802745462,0.6324064567492205,0.05070507401609037,0.38610933142705967,13
8,-158.0,0.27933704799934245,0.14752648627047782,0.16978165105388776,0.013307305556103257,0.38350368382350064,0.15699084098749364,0.3533237408452459,0.2475770327973792,0.17844769424041465,7
5,-175.0,0.05311991882809938,0.36091842795564616,0.30183242463203624,0.11048662918461383,0.17288155846961586,0.06320104740776199,0.5781737709594061,0.4179860639619636,0.2939933092802789,4
11,-159.0,0.536833719096514,0.20623496641246286,0.051396742772784075,0.23601409306017426,0.2397135024075782,0.19869047021470732,0.6562872196052739,0.34058902287760157,0.07205126236435735,14
12,-78.4,0.29014806219128875,0.3591353560458248,0.13343581273862937,0.0244879527944001,0.10225212673695082,0.29898004717730964,0.49395979683249036,0.4724685163776594,0.2364912383487086,6
10,-154.0,0.2818749765367526,0.2888188630230191,0.2026198631387139,0.005268730516626277,0.46631755050692636,0.13456258475861965,0.43141025100736313,0.17226510138602516,0.15935247633714736,10
13,-80.3,0.3985035548824354,0.4197719638348393,0.30856256711953084,0.06730303018255397,0.1080509340113982,0.11571215260516247,0.20347885112488567,0.14374253044409155,0.05787782359492416,12
15,-78.4,0.3696406156602912,0.3227834917936738,0.2807680460798808,0.14495686433207083,0.38073385321200653,0.08055267675240751,0.20724083414641514,0.10436132581297583,0.12232175373824139,13
14,-175.0,0.5990935306204181,0.062100145951537955,0.356735194064442,0.24222227255188622,0.21442472555650244,0.027666144774598292,0.33018634736377467,0.1967636789370883,0.1170270675212846,10
18,-163.0,0.6030936384203465,0.33682518893773344,0.20330520881553954,0.15666499619249669,0.5195964336278497,0.06196645644372401,0.5539293589806222,0.2224075227485602,0.14813774240616245,16
16,-78.4,0.19307827578169792,0.43240125875725766,0.24974737101211741,0.07369515562403542,0.17179669048114882,0.16807986912041986,0.47320207455513247,0.19819365805395017,0.19394686686638515,9
17,-175.0,0.43632857512271045,0.22813447493400427,0.35961514625148244,0.033892246548937424,0.32471928321475946,0.12436145368109999,0.2875703685506508,0.10319149660549086,0.09102258618669291,12
19,-78.4,0.48103744959330297,0.1424124505168808,0.3367317670629437,0.06711096321031877,0.18387991095204148,0.1520710351279802,0.40196908592454583,0.2978925005770682,0.2092987393699892,14
