boot_mean_snn,boot_mean_ann,boot_diff,boot_ratio_pct_literal,boot_ratio_pct_signed
628.17159858,1301.88333958,-673.711741,48.25098989151011,48.25098989151011
606.69517564,1261.4727692299998,-654.7775935899998,48.0941951692168,48.0941951692168
593.66066395,1264.4640136300002,-670.8033496800002,46.94958951387867,46.94958951387868
578.04069649,1160.8950754799998,-582.8543789899999,49.79267366182902,49.792673661829014
642.8905502900001,1348.9059224399998,-706.0153721499997,47.66014735312991,47.6601473531299
591.4293529400001,1316.73541684,-725.3060638999999,44.91633971229819,44.91633971229819
663.7703523399999,1251.40518242,-587.6348300800001,53.042001237072036,53.042001237072036
586.4777153800001,1351.1362579,-764.6585425199999,43.40625987578274,43.40625987578274
603.75628898,1081.21793844,-477.4616494599999,55.840387725263795,55.84038772526381
698.05891907,1354.3726697200002,-656.3137506500002,51.54112562049226,51.54112562049226
631.40005321,1303.7338903099999,-672.3338370999999,48.4301327059824,48.43013270598241
613.8585996200001,1172.85709159,-558.9984919699999,52.33873794358136,52.33873794358135
651.0242793900001,1293.1521557899998,-642.1278763999998,50.343981292153714,50.343981292153714
576.39103961,1217.29549969,-640.90446008,47.350133123533716,47.35013312353372
636.3687931100001,1335.4402313499997,-699.0714382399997,47.65236048540288,47.65236048540288
573.0809692199999,1291.14616731,-718.0651980900001,44.38544478770892,44.38544478770893
698.02251577,1330.2413720099998,-632.2188562399998,52.47337291241253,52.47337291241253
591.37990089,1241.0296229599999,-649.6497220699998,47.65235977844673,47.65235977844673
584.28119524,1352.00749609,-767.7263008499999,43.21582512890933,43.21582512890932
674.4178013899999,1354.0456278399997,-679.6278264499998,49.807612647872475,49.80761264787247
649.19981162,1302.70051042,-653.5006988,49.83492417690796,49.83492417690796
587.7700570200001,1322.8216912900002,-735.0516342700001,44.433052533846315,44.43305253384631
588.6552731999999,1318.6768404999998,-730.0215672999999,44.63984314586133,44.63984314586133
571.0151131299999,1384.3627195499994,-813.3476064199995,41.24750725125088,41.24750725125088
613.5715638400001,1350.1019675399998,-736.5304036999997,45.446312840946334,45.446312840946334
548.6521291,1347.1031703,-798.4510412000001,40.728293214380535,40.72829321438054
640.88130015,1223.9196360599997,-583.0383359099997,52.36302133472612,52.36302133472612
728.7525097800001,1301.4243407,-572.6718309199998,55.99653295158322,55.99653295158322
586.3471075299999,1304.93347557,-718.58636804,44.93310337324907,44.93310337324906
