step,cos_th1,sin_th1,cos_th2,sin_th2,dth1,dth2,action,reward
69,0.860284,0.509815,0.850726,0.525609,3.965566,-6.534778,-1.000000,0.458805
70,0.306842,0.951761,0.734200,-0.678934,3.063908,-5.955225,-1.000000,2.269666
71,-0.147992,0.988989,-0.184023,-0.982922,1.533585,-4.210365,-1.000000,2.201807
72,-0.301343,0.953516,-0.779137,-0.626854,0.060306,-2.907649,-1.000000,2.174055
73,-0.181816,0.983333,-0.975049,-0.221991,-1.266878,-1.611031,-1.000000,0.757397
74,0.192200,0.981356,-0.999255,-0.038591,-2.480996,-0.244758,-1.000000,-1.472413
75,0.716481,0.697607,-0.993324,-0.115356,-3.511549,0.965592,1.000000,-1.119384
76,0.999980,0.006289,-0.905473,-0.424404,-3.986015,2.188415,1.000000,2.437660
77,0.732016,-0.681288,-0.576110,-0.817372,-3.424082,2.889365,1.000000,3.887659
78,0.241360,-0.970436,-0.027462,-0.999623,-2.315659,2.850270,1.000000,1.953918
