rank,mean,std,min,max,n_ok,alg_probMoo,prob_addConn,prob_addNode,prob_enable,prob_mutAct,prob_toggleExcitatory,prob_initEnable,select_cullRatio,select_eliteRatio,select_tournSize
0,95.5,0.4335896677735763,94.7,96.1,11,0.5326296017498775,0.13086191991858953,0.14906569956120314,0.052766763587975773,0.4241903816226776,0.2692623499952168,0.5770592995309438,0.13771926775002497,0.1974328301356278,4
1,95.46363636363635,0.3443043051509187,94.9,96.0,11,0.6920638672749371,0.43875902337905004,0.13429073361197758,0.013303992861706485,0.3587340264445415,0.11349744259008324,0.6178372355677995,0.18778292876546743,0.22134631002825025,2
2,95.75454545454545,0.19679246105293907,95.5,96.1,11,0.6444141385374432,0.30642964639340164,0.26082357298644476,0.009337353658834816,0.5571829520498452,0.2208753561424888,0.4197638570265487,0.30835373246872955,0.12058837564858584,12
