seed_idx,peak_fitness,alg_probMoo,prob_addConn,prob_addNode,prob_enable,prob_mutAct,prob_toggleExcitatory,prob_initEnable,select_cullRatio,select_eliteRatio,select_tournSize
0,118.0,0.5820833988379432,0.2828072448848704,0.2269502361521851,0.0056517706780331,0.6078572175297925,0.1953155849140573,0.6467916117125678,0.2631934334501349,0.3038803670882214,7
1,118.0,0.5820833988379432,0.2828072448848704,0.2269502361521851,0.0056517706780331,0.6078572175297925,0.1953155849140573,0.6467916117125678,0.2631934334501349,0.3038803670882214,7
2,118.0,0.5820833988379432,0.2828072448848704,0.2269502361521851,0.0056517706780331,0.6078572175297925,0.1953155849140573,0.6467916117125678,0.2631934334501349,0.3038803670882214,7
3,118.0,0.5820833988379432,0.2828072448848704,0.2269502361521851,0.0056517706780331,0.6078572175297925,0.1953155849140573,0.6467916117125678,0.2631934334501349,0.3038803670882214,7
4,118.0,0.5820833988379432,0.2828072448848704,0.2269502361521851,0.0056517706780331,0.6078572175297925,0.1953155849140573,0.6467916117125678,0.2631934334501349,0.3038803670882214,7
5,118.0,0.5820833988379432,0.2828072448848704,0.2269502361521851,0.0056517706780331,0.6078572175297925,0.1953155849140573,0.6467916117125678,0.2631934334501349,0.3038803670882214,7
6,118.0,0.5820833988379432,0.2828072448848704,0.2269502361521851,0.0056517706780331,0.6078572175297925,0.1953155849140573,0.6467916117125678,0.2631934334501349,0.3038803670882214,7
7,118.0,0.5820833988379432,0.2828072448848704,0.2269502361521851,0.0056517706780331,0.6078572175297925,0.1953155849140573,0.6467916117125678,0.2631934334501349,0.3038803670882214,7
8,118.0,0.5820833988379432,0.2828072448848704,0.2269502361521851,0.0056517706780331,0.6078572175297925,0.1953155849140573,0.6467916117125678,0.2631934334501349,0.3038803670882214,7
9,118.0,0.5820833988379432,0.2828072448848704,0.2269502361521851,0.0056517706780331,0.6078572175297925,0.1953155849140573,0.6467916117125678,0.2631934334501349,0.3038803670882214,7
10,118.0,0.5820833988379432,0.2828072448848704,0.2269502361521851,0.0056517706780331,0.6078572175297925,0.1953155849140573,0.6467916117125678,0.2631934334501349,0.3038803670882214,7
