agent,n_episodes,mean,std,median,min,max
snn,100,570.7870812599999,494.2359899741662,300.39750000000004,1.065767,1213.047
ann,100,1286.4026392799997,682.7707029788177,1685.761161,-1.1223030000000003,1899.147873
