round,trial,peak_fitness,elapsed_s,alg_probMoo,prob_addConn,prob_addNode,prob_enable,prob_mutAct,prob_toggleExcitatory,prob_initEnable,select_cullRatio,select_eliteRatio,select_tournSize
0,1,-194.0,4.5,0.5664922116085652,0.2972120436788379,0.16442192871908246,0.1264002069664389,0.16933510979798277,0.02171563127322868,0.57642264358058,0.34312656356401366,0.1795160041954501,13
0,3,-175.0,4.5,0.5642174186198323,0.3107759674846207,0.22652356077694047,0.0385779501892012,0.6679267806066354,0.23029423222396625,0.5692104621504517,0.1007036235053392,0.35464485734315127,4
0,2,-175.0,4.5,0.6383871596380386,0.18892480611957208,0.05300996722778675,0.05110193957510924,0.12052589422977167,0.1413820136081467,0.7647236713809433,0.16649341589713212,0.24396258441183294,14
0,4,-195.0,6.0,0.3363496695324428,0.3984523507429917,0.34653764903742545,0.17988925932972427,0.5029900417999283,0.14306069730680143,0.5702459778448216,0.4911499852001318,0.15738621361165417,10
0,5,-195.0,6.0,0.29118318036422375,0.05496331390340776,0.1724457062493514,0.16886406261052922,0.11482350651389728,0.07356726080474683,0.4866452373159306,0.3919143704461721,0.11885392802026028,4
0,6,-79.7,6.0,0.3018639765627463,0.11368644314001544,0.313032536152872,0.008071038503695031,0.313389838196616,0.09222000827779192,0.7681366588432348,0.33179450804807475,0.3818501621136302,12
0,7,-175.0,6.0,0.14023483324486663,0.12827918146311132,0.2036911842238956,0.016365171240020255,0.33148534962566667,0.21600810852112398,0.6372910914425695,0.3895248352063933,0.19911155104313383,3
0,0,-179.0,7.5,0.4043232519256006,0.24598498473200214,0.3324682060668886,0.02257543819618751,0.31719308473736846,0.15376844666828246,0.7350664111431633,0.0953322622806787,0.06321740504117747,2
0,8,-77.2,6.0,0.09948774582886097,0.23026013670782597,0.1962287655824786,0.017554185235367666,0.3570204984085179,0.08303237625246537,0.7296896973104638,0.3780683302957698,0.0608869499741245,11
0,23,-105.0,6.0,0.3923960938481444,0.20493854192218092,0.3541124581001532,0.010934265046829606,0.17429955817806067,0.11156120023518915,0.7125488713417438,0.30705462593809996,0.3227981724739441,9
0,25,-175.0,7.5,0.07172212191947014,0.24200726352083005,0.2968958170056036,0.005002262025667788,0.38413521090464675,0.08130949459468258,0.6251815565225889,0.43112024289239226,0.08663975717924362,7
1,4,-195.0,4.5,0.06247766576173436,0.18061014336301112,0.057799986743128445,0.009663815964819236,0.6970193021410991,0.2745674903399807,0.6450123910767027,0.07866579366357736,0.3630118142724539,4
1,1,-116.0,4.5,0.5603223721600006,0.10017613332477296,0.25363705771981043,0.060852382133483554,0.11978591721387957,0.10872212374800967,0.36357817005209603,0.16888790235507078,0.26142684372354336,16
1,3,-75.3,4.5,0.6643881957026371,0.15251631550141215,0.12118620606468122,0.051875321359582525,0.11356900701789477,0.25683997021531835,0.573460924988127,0.10270821397678956,0.2647292915726223,14
1,7,-121.0,4.5,0.4240487318758003,0.43172306281391953,0.19490896346399395,0.01540961740992002,0.4240715806675456,0.2719160935443184,0.5395135757509664,0.4609978511642296,0.36502791913124955,8
1,5,-175.0,4.5,0.6077412619979372,0.14396090203798267,0.24392231717633078,0.035691287269337804,0.3289644230462895,0.16993780915067755,0.732541564600754,0.33791741917784635,0.3512273839291703,7
1,0,-195.0,6.0,0.20706560422960446,0.43244075087027894,0.26008435927786655,0.021350635241895066,0.5661621812459495,0.05309066646330694,0.44344014787943903,0.1428298183761894,0.088900856240261,10
1,2,-175.0,6.0,0.38724287540341784,0.31712853800394447,0.24308776151360373,0.025589797063386908,0.48356656707074375,0.10061984867679248,0.4695865993160556,0.279418570689692,0.09448843510101432,8
1,6,-121.0,6.0,0.12164328353681124,0.13780972655852117,0.2440018632750629,0.015395576202326703,0.14045173330988175,0.14690699308547084,0.6461724698081048,0.2914406192056838,0.16571705251673646,3
1,10,-78.5,4.5,0.5414418312559808,0.22335981094757074,0.2759886028401809,0.01674248712210098,0.5438528430126988,0.0527502831078652,0.6902408967880341,0.09536412205122921,0.05510750395837616,7
1,22,-195.0,6.0,0.47158411276333856,0.07576980122397597,0.33204899288594913,0.05244573064876848,0.25801292804524056,0.031144307933837934,0.5988894571658718,0.11948497558943663,0.26321364000833064,12
2,0,-195.0,4.5,0.4498541340344529,0.3133422224777549,0.14054092199457707,0.005408728004970215,0.12812616345128505,0.2685796364958452,0.5884258132093134,0.12021973159417189,0.29144005246929594,12
2,2,-118.0,6.0,0.35435203104112517,0.17417078749607237,0.17996789905561833,0.014977138849610855,0.5406387417135696,0.14075305392468,0.7513834518091005,0.33944735223724215,0.24488718671496418,13
2,6,-195.0,6.0,0.3955350119775937,0.38184643666055623,0.2641855803828746,0.024634789117080724,0.533911911640144,0.11195467538784992,0.4166967365409915,0.23360832789319202,0.08545870293535543,14
2,3,-195.0,6.0,0.2036114737136166,0.4462214052339735,0.3704150371613776,0.04393650209493414,0.5307955115463645,0.2122960282698177,0.3138986214701564,0.4719232087273838,0.3587985704816942,2
2,1,-195.0,6.0,0.2407256997033559,0.48156311816708397,0.3144361777210945,0.005421249979256243,0.17127758151994987,0.10378622793379955,0.5658197444207465,0.3320429548866324,0.18582173760196175,3
2,7,-195.0,6.0,0.08785659617251439,0.38672851197377356,0.2982011716352271,0.028114541702167532,0.3224225214890954,0.0914863535673888,0.2000479027558893,0.49331071620675293,0.1131016121525828,9
2,4,-113.0,6.0,0.4905481167930316,0.3585589927865119,0.3697169401631937,0.01853035659524962,0.36647972567651166,0.21458258243766343,0.7289976946887744,0.29923306971563773,0.05866554366727904,15
2,9,-195.0,6.0,0.05631263005190492,0.38137474739604266,0.17164228162012846,0.021350660638113115,0.3026468632748487,0.18298846402957503,0.21593206549869848,0.370469728376585,0.2371303835640008,8
2,16,-150.0,6.0,0.5491708392593104,0.3233687383372441,0.33802023762975225,0.014473709232847734,0.26589412729395534,0.13775573907396443,0.6857490495091858,0.20172673621029213,0.05248387987109104,6
3,0,-197.0,4.5,0.2832958173694743,0.27619479891941284,0.1003087545695458,0.03602182023921026,0.3916563650606186,0.2816073684990384,0.6551563600112355,0.2905317666035713,0.3779940806502281,12
