agent,n_episodes,mean,std,median,min,max
snn,100,793.2411081129999,602.373354283191,988.5411999999999,0.3163886,1472.549
ann,100,1286.36854275,682.7109795906155,1685.707456,-1.1222930000000002,1899.147818
