step,cos_th1,sin_th1,cos_th2,sin_th2,dth1,dth2,action,reward
69,0.824992,-0.565144,0.679983,0.733228,-1.080590,2.073938,-1.000000,0.097083
70,0.753487,-0.657463,0.476742,0.879043,-0.078322,0.430052,-1.000000,-1.509103
71,0.806526,-0.591198,0.544502,0.838760,0.915469,-1.218422,-1.000000,-2.681434
72,0.935755,-0.352650,0.831393,0.555685,1.765588,-2.800365,-1.000000,-1.886481
73,0.998975,0.045262,0.996741,-0.080662,2.183068,-3.694019,-1.000000,0.543400
74,0.895953,0.444149,0.708122,-0.706090,1.859359,-3.138034,0.000000,1.414351
75,0.732051,0.681250,0.302000,-0.953308,0.998579,-1.640319,0.000000,0.128565
76,0.658576,0.752514,0.128921,-0.991655,0.017236,-0.141070,0.000000,-1.825773
77,0.727126,0.686504,0.247602,-0.968862,-0.958733,1.355433,0.000000,-3.291869
78,0.888620,0.458643,0.623931,-0.781479,-1.810111,2.867126,0.000000,-2.864124
79,0.998460,0.055468,0.979864,-0.199666,-2.303274,3.922111,0.000000,-0.222179
80,0.924909,-0.380187,0.846052,0.533101,-2.023363,3.456518,-1.000000,1.211051
81,0.761090,-0.648646,0.464414,0.885618,-1.092818,1.757504,-1.000000,0.040092
82,0.683178,-0.730252,0.300546,0.953767,-0.027127,0.026809,-1.000000,-1.970317
83,0.754212,-0.656631,0.454818,0.890585,1.042276,-1.702026,-1.000000,-3.201563
84,0.917340,-0.398104,0.834384,0.551184,1.986302,-3.408064,-1.000000,-1.834310
85,0.998991,0.044919,0.978304,-0.207172,2.424841,-4.252189,-1.000000,1.272014
86,0.877723,0.479168,0.546022,-0.837771,2.014875,-3.394631,0.000000,2.033691
87,0.685503,0.728070,0.062578,-0.998040,1.113344,-1.757211,0.000000,0.420379
88,0.591885,0.806023,-0.131600,-0.991303,0.095884,-0.201187,-1.000000,-1.684144
89,0.651054,0.759032,-0.042954,-0.999077,-0.842613,1.096003,0.000000,-3.490696
90,0.826039,0.563613,0.329710,-0.944082,-1.762260,2.706150,0.000000,-3.893282
