7.26e+02,1.30e+03,4.40e+02,2.12e+02
8.83e+02,1.45e+03,4.57e+02,2.18e+02
7.95e+02,1.41e+03,4.57e+02,2.16e+02
7.57e+02,1.26e+03,4.65e+02,2.26e+02
7.96e+02,1.36e+03,4.69e+02,2.28e+02
9.22e+02,1.47e+03,4.67e+02,2.27e+02
8.03e+02,1.33e+03,4.52e+02,2.21e+02
8.47e+02,1.48e+03,4.68e+02,2.27e+02
7.79e+02,1.32e+03,4.50e+02,2.15e+02
7.96e+02,1.26e+03,4.63e+02,2.25e+02
7.50e+02,1.32e+03,4.68e+02,2.27e+02
6.68e+02,1.25e+03,4.38e+02,2.11e+02
8.21e+02,1.38e+03,4.68e+02,2.28e+02
6.84e+02,1.30e+03,4.50e+02,2.15e+02
8.02e+02,1.35e+03,4.56e+02,2.18e+02
7.09e+02,1.32e+03,4.60e+02,2.18e+02
8.50e+02,1.37e+03,4.51e+02,2.16e+02
7.31e+02,1.16e+03,4.57e+02,2.18e+02
7.65e+02,1.33e+03,4.59e+02,2.18e+02
7.53e+02,1.46e+03,4.48e+02,2.18e+02
7.10e+02,1.22e+03,4.54e+02,2.17e+02
7.75e+02,1.39e+03,4.68e+02,2.27e+02
8.81e+02,1.44e+03,4.60e+02,2.23e+02
8.48e+02,1.35e+03,4.53e+02,2.16e+02
8.35e+02,1.30e+03,4.58e+02,2.18e+02
7.50e+02,1.24e+03,4.48e+02,2.18e+02
6.73e+02,1.14e+03,4.60e+02,2.19e+02
8.25e+02,1.33e+03,4.42e+02,2.15e+02
8.43e+02,1.44e+03,4.53e+02,2.16e+02
7.15e+02,1.24e+03,4.36e+02,2.12e+02
8.56e+02,1.37e+03,4.58e+02,2.19e+02
7.87e+02,1.35e+03,4.48e+02,2.14e+02
8.40e+02,1.34e+03,4.54e+02,2.15e+02
7.32e+02,1.21e+03,4.57e+02,2.18e+02
7.88e+02,1.21e+03,4.48e+02,2.15e+02
7.80e+02,1.31e+03,4.41e+02,2.12e+02
7.10e+02,1.36e+03,4.66e+02,2.26e+02
7.73e+02,1.42e+03,4.57e+02,2.18e+02
8.13e+02,1.44e+03,4.57e+02,2.17e+02
8.02e+02,1.48e+03,4.50e+02,2.16e+02
7.30e+02,1.27e+03,4.60e+02,2.18e+02
7.03e+02,1.21e+03,4.66e+02,2.26e+02
7.72e+02,1.37e+03,4.41e+02,2.12e+02
8.07e+02,1.43e+03,4.55e+02,2.17e+02
8.20e+02,1.30e+03,4.52e+02,2.17e+02
8.07e+02,1.35e+03,4.63e+02,2.25e+02
