gen,tieCount,popSize
0,0,480
1,465,480
2,456,480
3,451,480
4,448,480
5,442,480
6,440,480
7,434,480
8,442,480
9,436,480
10,429,480
11,430,480
12,433,480
13,430,480
14,425,480
15,419,480
16,423,480
17,415,480
18,425,480
19,415,480
20,407,480
21,417,480
22,425,480
23,427,480
24,428,480
25,423,480
26,417,480
27,422,480
28,430,480
29,415,480
30,414,480
31,418,480
32,431,480
33,414,480
34,415,480
35,419,480
36,419,480
37,421,480
38,420,480
39,425,480
40,423,480
41,422,480
42,424,480
43,418,480
44,419,480
45,423,480
46,423,480
47,421,480
48,419,480
49,430,480
50,428,480
51,419,480
52,424,480
53,430,480
54,414,480
55,423,480
56,420,480
57,427,480
58,426,480
59,425,480
60,423,480
61,426,480
62,425,480
63,422,480
64,422,480
65,416,480
66,412,480
67,426,480
68,427,480
69,433,480
70,426,480
71,416,480
72,418,480
73,430,480
74,415,480
75,424,480
76,433,480
77,420,480
78,434,480
79,423,480
80,425,480
81,432,480
82,428,480
83,417,480
84,417,480
85,423,480
86,420,480
87,420,480
88,423,480
89,421,480
90,424,480
91,421,480
92,424,480
93,425,480
94,417,480
95,425,480
96,412,480
97,424,480
98,420,480
99,427,480
100,419,480
101,426,480
102,425,480
103,431,480
104,437,480
105,414,480
106,431,480
107,424,480
108,426,480
109,418,480
110,422,480
111,423,480
112,428,480
113,427,480
114,421,480
115,427,480
116,430,480
117,422,480
118,425,480
119,417,480
120,429,480
121,424,480
122,413,480
123,434,480
124,424,480
125,425,480
126,415,480
127,428,480
128,425,480
129,423,480
130,426,480
131,412,480
132,440,480
133,416,480
134,420,480
135,431,480
136,424,480
137,423,480
138,441,480
139,419,480
140,423,480
141,423,480
142,434,480
143,423,480
144,424,480
145,429,480
146,412,480
147,421,480
148,432,480
149,429,480
150,424,480
151,424,480
152,423,480
153,423,480
154,419,480
155,414,480
156,425,480
157,425,480
158,418,480
159,424,480
160,421,480
161,426,480
162,424,480
163,422,480
164,421,480
165,419,480
166,427,480
167,426,480
168,423,480
169,424,480
170,436,480
171,434,480
172,433,480
173,420,480
174,432,480
175,429,480
176,425,480
177,422,480
178,424,480
179,425,480
180,423,480
181,431,480
182,422,480
183,421,480
184,428,480
185,434,480
186,435,480
187,442,480
188,427,480
189,416,480
190,431,480
191,429,480
192,433,480
193,428,480
194,416,480
195,426,480
196,431,480
197,428,480
198,438,480
199,423,480
200,433,480
201,424,480
202,429,480
203,427,480
204,428,480
205,431,480
206,424,480
207,422,480
208,431,480
209,434,480
210,436,480
211,422,480
212,432,480
213,430,480
214,430,480
215,430,480
216,430,480
217,433,480
218,430,480
219,423,480
220,424,480
221,419,480
222,427,480
223,425,480
224,429,480
225,433,480
226,436,480
227,435,480
228,429,480
229,424,480
230,416,480
231,437,480
232,423,480
233,421,480
234,434,480
235,430,480
236,421,480
237,424,480
238,413,480
239,430,480
240,429,480
241,421,480
242,428,480
243,422,480
244,435,480
245,433,480
246,438,480
247,428,480
248,423,480
249,419,480
250,432,480
251,417,480
252,425,480
253,420,480
254,424,480
255,436,480
256,428,480
257,425,480
258,420,480
259,432,480
260,433,480
261,427,480
262,427,480
263,420,480
264,425,480
265,425,480
266,419,480
267,427,480
268,440,480
269,425,480
270,427,480
271,425,480
272,426,480
273,433,480
274,420,480
275,426,480
276,429,480
277,426,480
278,429,480
279,430,480
280,427,480
281,421,480
282,427,480
283,417,480
284,429,480
285,424,480
286,438,480
287,420,480
288,424,480
289,429,480
290,427,480
291,424,480
292,433,480
293,437,480
294,420,480
295,425,480
296,439,480
297,429,480
298,416,480
299,424,480
300,422,480
301,423,480
302,439,480
303,416,480
304,432,480
305,414,480
306,428,480
307,433,480
308,424,480
309,421,480
310,429,480
311,418,480
312,416,480
313,427,480
314,424,480
315,426,480
316,419,480
317,422,480
318,428,480
319,432,480
320,430,480
321,424,480
322,421,480
323,424,480
324,415,480
325,428,480
326,433,480
327,431,480
328,432,480
329,426,480
330,422,480
331,428,480
332,428,480
333,436,480
334,438,480
335,433,480
336,420,480
337,425,480
338,418,480
339,420,480
340,414,480
341,432,480
342,424,480
343,430,480
344,424,480
345,427,480
346,425,480
347,433,480
348,428,480
349,430,480
350,431,480
351,424,480
352,419,480
353,417,480
354,437,480
355,429,480
356,425,480
357,422,480
358,424,480
359,422,480
360,424,480
361,430,480
362,429,480
363,415,480
364,420,480
365,425,480
366,425,480
367,421,480
368,434,480
369,427,480
370,427,480
371,421,480
372,429,480
373,422,480
374,423,480
375,433,480
376,424,480
377,424,480
378,425,480
379,425,480
380,423,480
381,425,480
382,425,480
383,422,480
384,429,480
385,424,480
386,425,480
387,424,480
388,429,480
389,425,480
390,422,480
391,432,480
392,431,480
393,426,480
394,427,480
395,424,480
396,437,480
397,428,480
398,428,480
399,424,480
400,425,480
401,432,480
402,427,480
403,434,480
404,424,480
405,420,480
406,431,480
407,420,480
408,420,480
409,427,480
410,435,480
411,431,480
412,422,480
413,425,480
414,426,480
415,425,480
416,417,480
417,431,480
418,433,480
419,430,480
420,437,480
421,440,480
422,426,480
423,420,480
424,438,480
425,420,480
426,426,480
427,422,480
428,426,480
429,421,480
430,429,480
431,417,480
432,423,480
433,422,480
434,429,480
435,430,480
436,435,480
437,430,480
438,433,480
439,426,480
440,435,480
441,419,480
442,428,480
443,424,480
444,427,480
445,432,480
446,428,480
447,424,480
448,439,480
449,429,480
450,431,480
451,430,480
452,418,480
453,431,480
454,428,480
455,411,480
456,425,480
457,428,480
458,433,480
459,434,480
460,436,480
461,431,480
462,428,480
463,421,480
464,425,480
465,431,480
466,427,480
467,419,480
468,431,480
469,429,480
470,424,480
471,427,480
472,421,480
473,424,480
474,422,480
475,429,480
476,426,480
477,430,480
478,423,480
479,429,480
480,422,480
481,426,480
482,426,480
483,429,480
484,424,480
485,434,480
486,435,480
487,426,480
488,425,480
489,433,480
490,420,480
491,432,480
492,430,480
493,422,480
494,426,480
495,426,480
496,421,480
497,418,480
498,417,480
499,425,480
500,423,480
501,425,480
502,432,480
503,426,480
504,433,480
505,420,480
506,413,480
507,430,480
508,433,480
509,426,480
510,438,480
511,431,480
512,423,480
513,422,480
514,426,480
515,434,480
516,430,480
517,430,480
518,423,480
519,435,480
520,422,480
521,439,480
522,427,480
523,434,480
524,429,480
525,426,480
526,427,480
527,428,480
528,423,480
529,428,480
530,437,480
531,431,480
532,424,480
533,429,480
534,421,480
535,425,480
536,428,480
537,428,480
538,431,480
539,434,480
540,426,480
541,425,480
542,429,480
543,427,480
544,430,480
545,431,480
546,431,480
547,429,480
548,418,480
549,419,480
550,436,480
551,430,480
552,416,480
553,428,480
554,427,480
555,428,480
556,429,480
557,438,480
558,430,480
559,428,480
560,431,480
561,426,480
562,424,480
563,430,480
564,431,480
565,433,480
566,421,480
567,429,480
568,426,480
569,424,480
570,438,480
571,424,480
572,415,480
573,423,480
574,416,480
