gen,tieCount,popSize
0,0,480
1,468,480
2,449,480
3,460,480
4,444,480
5,443,480
6,432,480
7,439,480
8,439,480
9,445,480
10,441,480
11,434,480
12,425,480
13,425,480
14,432,480
15,425,480
16,422,480
17,422,480
18,420,480
19,421,480
20,420,480
21,422,480
22,420,480
23,437,480
24,422,480
25,426,480
26,430,480
27,438,480
28,424,480
29,416,480
30,420,480
31,422,480
32,422,480
33,423,480
34,432,480
35,428,480
36,429,480
37,424,480
38,425,480
39,424,480
40,426,480
41,428,480
42,420,480
43,426,480
44,426,480
45,421,480
46,424,480
47,423,480
48,421,480
49,418,480
50,416,480
51,416,480
52,425,480
53,423,480
54,422,480
55,434,480
56,420,480
57,423,480
58,431,480
59,430,480
60,416,480
61,418,480
62,416,480
63,439,480
64,428,480
65,424,480
66,429,480
67,427,480
68,431,480
69,429,480
70,419,480
71,431,480
72,427,480
73,429,480
74,419,480
75,420,480
76,431,480
77,423,480
78,423,480
79,429,480
80,432,480
81,423,480
82,435,480
83,435,480
84,434,480
85,429,480
86,427,480
87,423,480
88,429,480
89,427,480
90,425,480
91,415,480
92,428,480
93,424,480
94,427,480
95,433,480
96,417,480
97,422,480
98,432,480
99,421,480
100,420,480
101,439,480
102,435,480
103,429,480
104,430,480
105,428,480
106,421,480
107,422,480
108,422,480
109,427,480
110,432,480
111,430,480
112,434,480
113,425,480
114,440,480
115,428,480
116,420,480
117,425,480
118,426,480
119,430,480
120,433,480
121,430,480
122,434,480
123,425,480
124,426,480
125,429,480
126,439,480
127,430,480
128,424,480
129,425,480
130,422,480
131,432,480
132,431,480
133,429,480
134,426,480
135,432,480
136,427,480
137,436,480
138,429,480
139,439,480
140,439,480
141,432,480
142,435,480
143,430,480
144,422,480
145,426,480
146,428,480
147,430,480
148,426,480
149,425,480
150,433,480
151,429,480
152,430,480
153,420,480
154,432,480
155,431,480
156,425,480
157,427,480
158,431,480
159,430,480
160,433,480
161,433,480
162,435,480
163,431,480
164,433,480
165,429,480
166,434,480
167,429,480
168,426,480
169,424,480
170,420,480
171,430,480
172,430,480
173,431,480
174,416,480
175,434,480
176,431,480
177,420,480
178,436,480
179,424,480
180,438,480
181,434,480
182,422,480
183,434,480
184,427,480
185,434,480
186,430,480
187,432,480
188,437,480
189,424,480
190,425,480
191,430,480
192,426,480
193,422,480
194,441,480
195,427,480
196,425,480
197,426,480
198,429,480
199,421,480
200,424,480
201,428,480
202,433,480
203,442,480
204,428,480
205,433,480
206,432,480
207,439,480
208,426,480
209,431,480
210,428,480
211,435,480
212,435,480
213,428,480
214,428,480
215,426,480
216,417,480
217,428,480
218,431,480
219,431,480
220,434,480
221,426,480
222,423,480
223,422,480
224,419,480
225,430,480
226,437,480
227,424,480
228,420,480
229,423,480
230,424,480
231,421,480
232,429,480
233,432,480
234,441,480
235,440,480
236,430,480
237,428,480
238,426,480
239,424,480
240,430,480
241,438,480
242,424,480
243,431,480
244,425,480
245,427,480
246,433,480
247,426,480
248,425,480
249,429,480
250,429,480
251,430,480
252,429,480
253,436,480
254,424,480
255,425,480
256,426,480
257,434,480
258,434,480
259,436,480
260,442,480
261,432,480
262,439,480
263,424,480
264,434,480
265,422,480
266,437,480
267,433,480
268,428,480
269,424,480
270,426,480
271,426,480
272,440,480
273,431,480
274,431,480
275,440,480
276,418,480
277,432,480
278,425,480
279,429,480
280,435,480
281,430,480
282,438,480
283,442,480
284,421,480
285,428,480
286,429,480
287,430,480
288,417,480
289,429,480
290,434,480
291,437,480
292,426,480
293,422,480
294,433,480
295,432,480
296,428,480
297,427,480
298,429,480
299,426,480
300,429,480
301,443,480
302,431,480
303,435,480
304,435,480
305,429,480
306,434,480
307,429,480
308,428,480
309,430,480
310,429,480
311,428,480
312,433,480
313,429,480
314,438,480
315,420,480
316,429,480
317,427,480
318,432,480
319,432,480
320,432,480
321,435,480
322,436,480
323,438,480
324,427,480
325,421,480
326,429,480
327,423,480
328,425,480
329,433,480
330,419,480
331,432,480
332,431,480
333,425,480
334,423,480
335,429,480
336,423,480
337,430,480
338,437,480
339,429,480
340,427,480
341,434,480
342,435,480
343,440,480
344,429,480
345,429,480
346,433,480
347,431,480
348,424,480
349,435,480
350,427,480
351,433,480
352,430,480
353,436,480
354,430,480
355,425,480
356,432,480
357,433,480
358,427,480
359,436,480
360,429,480
361,423,480
362,425,480
363,432,480
364,433,480
365,425,480
366,431,480
367,420,480
368,432,480
369,428,480
370,429,480
371,432,480
372,423,480
373,428,480
374,432,480
375,432,480
376,419,480
377,433,480
378,433,480
379,435,480
380,427,480
381,430,480
382,429,480
383,433,480
384,426,480
385,433,480
386,430,480
387,426,480
388,435,480
389,427,480
390,432,480
391,427,480
392,434,480
393,429,480
394,414,480
395,424,480
396,428,480
397,431,480
398,432,480
399,429,480
400,430,480
401,424,480
402,433,480
403,431,480
404,432,480
405,424,480
406,428,480
407,428,480
408,444,480
409,429,480
410,434,480
411,441,480
412,439,480
413,425,480
414,426,480
415,427,480
416,434,480
417,431,480
418,442,480
419,428,480
420,433,480
421,435,480
422,429,480
423,430,480
424,428,480
425,430,480
426,423,480
427,431,480
428,429,480
429,429,480
430,426,480
431,431,480
432,431,480
433,430,480
434,434,480
435,427,480
436,435,480
437,428,480
438,429,480
439,416,480
440,430,480
441,435,480
442,435,480
443,427,480
444,427,480
445,423,480
446,427,480
447,427,480
448,433,480
449,426,480
450,435,480
451,429,480
452,428,480
453,420,480
454,428,480
455,439,480
456,429,480
457,420,480
458,428,480
459,435,480
460,434,480
461,430,480
462,433,480
463,431,480
464,428,480
465,429,480
466,435,480
467,431,480
468,425,480
469,434,480
470,425,480
471,434,480
472,416,480
473,418,480
474,428,480
475,432,480
476,426,480
477,428,480
478,435,480
479,428,480
480,432,480
481,433,480
482,428,480
483,426,480
484,428,480
485,421,480
486,426,480
487,429,480
488,432,480
489,424,480
490,430,480
491,432,480
492,438,480
493,430,480
494,428,480
495,423,480
496,420,480
