trial,peak_fitness,alg_probMoo,prob_addConn,prob_addNode,prob_enable,prob_mutAct,prob_toggleExcitatory,prob_initEnable,select_cullRatio,select_eliteRatio,select_tournSize
1,-126.0,0.45501980445403006,0.33693701453490843,0.11629895938485683,0.010443515669353847,0.5730882393640645,0.0952115690412592,0.3134592531859971,0.1844213127825235,0.06109615621417191,6
0,-134.0,0.5665488507136837,0.3881227280186797,0.1057473679513937,0.015004000761231175,0.16608091886903803,0.11810606084828604,0.3868147624510333,0.3507667326474684,0.1791613933408125,5
2,-137.0,0.5604988518564107,0.056860760197800966,0.31321802565085044,0.10850122193092561,0.37149198260839944,0.11648001755136707,0.45896149449376134,0.2658762050564648,0.1386531300313991,13
3,-112.0,0.19774698793966244,0.16196607188593204,0.16142370749786872,0.06832624388116776,0.32543954103664263,0.13660547781171298,0.22403661538637132,0.2034605015500191,0.14652964912349747,11
5,-135.0,0.3154684749945988,0.08123286648672218,0.23398977048765074,0.08969714585724167,0.24165568955690248,0.27714224740006793,0.5402094632494967,0.48457887596007954,0.1657935564870966,2
4,-140.0,0.19057379934815571,0.3815939740946867,0.29623724145863645,0.19402209002450144,0.4851515884300457,0.17403508172246573,0.3354955975448095,0.3523704016069854,0.2317367195852404,14
8,-134.0,0.09799852954482238,0.19223278482393613,0.05786705773362409,0.04420271852096295,0.6915853996980948,0.02416905573386685,0.2170345449983697,0.19866202815805367,0.26202099955115576,10
7,-155.0,0.2523581379484334,0.19135158850008313,0.17565715466768317,0.03782849551982368,0.3381551766531373,0.21150441021871177,0.5904807054726231,0.053675485528072914,0.31791223195199225,11
10,-137.0,0.6966237514844641,0.2715869185890073,0.24710012154532612,0.0710517077492115,0.47845036509093997,0.1767949885467757,0.7941365623518599,0.31660655515570524,0.22899536539250367,9
9,-116.0,0.41899467237785465,0.13492357559740897,0.20306947721994248,0.01956675394494057,0.2748187129038468,0.25612225493446084,0.2054418266874015,0.1685828653105666,0.11476050132393623,16
11,-121.0,0.179575017147935,0.243775478663963,0.14794865919610245,0.19730405851858376,0.10641938187656674,0.2239396131438219,0.43620410922224256,0.23928955294809873,0.10827761760045179,13
12,-155.0,0.3221026539279679,0.1306056445572824,0.2803272632828028,0.025583440088469446,0.45696717344541393,0.02267214681999978,0.6144962963827929,0.4682123329127136,0.3173216939366068,3
13,-82.1,0.42191060015821064,0.13260026529815888,0.18596188140157172,0.019555936355598925,0.29595602406192884,0.2936404989146083,0.20204434646342667,0.13907029708624752,0.10847843968958736,16
14,-137.0,0.5023580981062511,0.12979807963275294,0.1993920984349299,0.0614207058228123,0.27043761793834203,0.23341701302472712,0.28847502334660174,0.15017984317394306,0.13119909919842995,16
15,-137.0,0.33525695207186185,0.1831758491918056,0.14981193309242513,0.0106413745844753,0.3374520748282036,0.2947845758175393,0.27619217261720425,0.10115713229331999,0.08864200436456693,12
16,-134.0,0.1833603210971985,0.09803357270973924,0.07039408240400571,0.02960041235689901,0.4227564897390961,0.1505321661540149,0.2031785619746797,0.2217205008264356,0.15796690074845132,8
6,-137.0,0.05650458972079174,0.32445799388756047,0.36812873145650016,0.006022170918602366,0.168957989441114,0.07469536091673572,0.7031489791686001,0.09866714844118393,0.06980323521399091,7
17,-111.0,0.3905403364022018,0.14844756764599507,0.11963741607947023,0.04824399843346371,0.5452591773896027,0.14546323658512286,0.3767431008012994,0.12358416691568602,0.1964581923596952,15
19,-96.4,0.6595348676452895,0.16903842260179436,0.3469996637335725,0.006374733795464121,0.3153431596158819,0.05769705039690873,0.3792102851901197,0.31277186373943594,0.20479926832078504,14
18,-118.0,0.2536782972877244,0.232131537811865,0.25619874309394497,0.13214332769101725,0.21107066715962366,0.19570933949725638,0.25126702933317197,0.0626441983202162,0.09715217838137559,11
