seed_idx,peak_fitness,alg_probMoo,prob_addConn,prob_addNode,prob_enable,prob_mutAct,prob_toggleExcitatory,prob_initEnable,select_cullRatio,select_eliteRatio,select_tournSize
0,-37.1,0.0944061009085447,0.2238637794040617,0.1383242171810899,0.0088475445404892,0.6781524019550267,0.1563091864656695,0.7125471414651752,0.2362021355131116,0.2042780672617156,10
1,-35.2,0.0944061009085447,0.2238637794040617,0.1383242171810899,0.0088475445404892,0.6781524019550267,0.1563091864656695,0.7125471414651752,0.2362021355131116,0.2042780672617156,10
2,-35.0,0.0944061009085447,0.2238637794040617,0.1383242171810899,0.0088475445404892,0.6781524019550267,0.1563091864656695,0.7125471414651752,0.2362021355131116,0.2042780672617156,10
3,-36.1,0.0944061009085447,0.2238637794040617,0.1383242171810899,0.0088475445404892,0.6781524019550267,0.1563091864656695,0.7125471414651752,0.2362021355131116,0.2042780672617156,10
4,-35.0,0.0944061009085447,0.2238637794040617,0.1383242171810899,0.0088475445404892,0.6781524019550267,0.1563091864656695,0.7125471414651752,0.2362021355131116,0.2042780672617156,10
5,-37.1,0.0944061009085447,0.2238637794040617,0.1383242171810899,0.0088475445404892,0.6781524019550267,0.1563091864656695,0.7125471414651752,0.2362021355131116,0.2042780672617156,10
6,-35.5,0.0944061009085447,0.2238637794040617,0.1383242171810899,0.0088475445404892,0.6781524019550267,0.1563091864656695,0.7125471414651752,0.2362021355131116,0.2042780672617156,10
7,-35.6,0.0944061009085447,0.2238637794040617,0.1383242171810899,0.0088475445404892,0.6781524019550267,0.1563091864656695,0.7125471414651752,0.2362021355131116,0.2042780672617156,10
8,-38.4,0.0944061009085447,0.2238637794040617,0.1383242171810899,0.0088475445404892,0.6781524019550267,0.1563091864656695,0.7125471414651752,0.2362021355131116,0.2042780672617156,10
9,-36.2,0.0944061009085447,0.2238637794040617,0.1383242171810899,0.0088475445404892,0.6781524019550267,0.1563091864656695,0.7125471414651752,0.2362021355131116,0.2042780672617156,10
10,-36.3,0.0944061009085447,0.2238637794040617,0.1383242171810899,0.0088475445404892,0.6781524019550267,0.1563091864656695,0.7125471414651752,0.2362021355131116,0.2042780672617156,10
