trial,peak_fitness,alg_probMoo,prob_addConn,prob_addNode,prob_enable,prob_mutAct,prob_toggleExcitatory,prob_initEnable,select_cullRatio,select_eliteRatio,select_tournSize
0,87.7,0.4155712049250468,0.3044816974584149,0.0760357001048472,0.0067531845801470985,0.5518764213410736,0.16598024988707058,0.5686652390668074,0.16908700745010277,0.37710292946846646,7
3,98.1,0.5817685235650559,0.09818491642094,0.25323876498281006,0.011973379950064965,0.2330805927721713,0.2452550693293251,0.7212991704332813,0.4025887405731187,0.2917916359538365,13
1,140.0,0.13793106500673602,0.24185031507779658,0.14044576764885547,0.23605822140575436,0.45013912231864556,0.28284206539399315,0.7570830323160946,0.1793067325955029,0.09783260995962803,8
2,137.0,0.06280550468191348,0.20468772085298564,0.15113238480473465,0.0841495014499916,0.284591436820465,0.2618319235380157,0.6354959681165016,0.3813599440700265,0.39229396337580086,5
4,57.1,0.42385696954328017,0.08621750134364212,0.26179132852076026,0.006620794643136251,0.48744219308126513,0.21656601542706244,0.4616234817561747,0.2708986428412953,0.06336022869609659,15
5,108.0,0.28133881983699344,0.2268433326284786,0.2730377531633694,0.2200248384461543,0.5512972148925561,0.04374335602510465,0.6451109354114716,0.16317313599582098,0.17878721667265823,11
6,153.0,0.07762482065352709,0.06457700972987598,0.11823927213654106,0.06478860080180057,0.6589374803568666,0.19573429548236254,0.5737605375262907,0.32214003063391006,0.22119545986467154,3
7,221.0,0.19573027810165677,0.49762686467412043,0.1913423753490993,0.20679411711218545,0.3686709062692834,0.09073576407296918,0.7736870242727287,0.0553185110568194,0.05623105534831929,8
8,353.0,0.6999171499152809,0.37247599060763587,0.05746198434439083,0.026583671010086747,0.39169505644806973,0.2856337028998329,0.7674216734413998,0.48076766555048633,0.14823695137836246,11
11,130.0,0.6762322939555219,0.37274089670257915,0.05036424593757913,0.024893217384102453,0.4056760067477973,0.13212435016020055,0.7976479847886634,0.4880727826539344,0.1509694965213671,11
9,123.0,0.29415212956235365,0.13192089547029748,0.10555902464633883,0.05280998162788579,0.6941586667754412,0.17279464471558958,0.509513882427599,0.29975716441103367,0.2540457729377832,2
12,170.0,0.5454531954229633,0.3950031235576231,0.09457785047037823,0.029273411373225155,0.5665375644111792,0.29984342282286053,0.7309792505315237,0.48748620977978535,0.3345107356984994,15
13,110.0,0.685143612765101,0.49797666055126916,0.18535032336836613,0.01691107473440824,0.3545331371066772,0.09661846237747282,0.7992743345549043,0.09688347749989272,0.07739434874007708,10
10,106.0,0.20653339090391354,0.49924594209784623,0.21179575197020004,0.1290422411823828,0.3344735333576262,0.06651654858814385,0.6902863656864933,0.054250966228071344,0.12198832959933804,6
14,148.0,0.512455772606224,0.4209488988082116,0.20729143008628476,0.0459044216695752,0.3906551762053862,0.1180085004931455,0.6879740904627671,0.2369544908760587,0.19269450443690694,9
15,102.0,0.32863588472978844,0.3367759991853811,0.17924287511946307,0.1099703799807597,0.46255371116878297,0.02373775956197903,0.7611126234017191,0.41650224512981093,0.1312965553410032,12
18,112.0,0.6148261249692235,0.4285626086464966,0.16293156050289143,0.037873914934593945,0.4024737358110471,0.22541401786354504,0.5867530351458218,0.11309659696429995,0.15600417495945318,9
16,116.0,0.20249958116183608,0.44632286910103486,0.22377353810888465,0.014118700093571603,0.3077196878989446,0.07612383817493035,0.6812687006377353,0.22165392099486456,0.06810779774137973,13
17,147.0,0.4621128581238948,0.34841632226948294,0.13542583633901556,0.023255801873577852,0.22013149306065388,0.1189243746975501,0.7599804390258832,0.3496713938395232,0.050263427403007016,5
19,208.0,0.17575538519049635,0.29104624706671506,0.05215231162667214,0.15840800436144864,0.2723601780024275,0.08116142352091506,0.7237479607962324,0.4332483704960256,0.10102690532571576,16
