step,cos_th1,sin_th1,cos_th2,sin_th2,dth1,dth2,action,reward
68,0.999380,-0.035222,0.999998,-0.001894,0.080219,-0.100568,-1.000000,-0.994713
69,0.999997,-0.002476,0.998312,-0.058084,0.238669,-0.446392,-1.000000,-0.936009
70,0.998480,0.055116,0.985395,-0.170283,0.322037,-0.654606,-1.000000,-0.836379
71,0.992892,0.119015,0.953362,-0.301829,0.302359,-0.667432,-1.000000,-0.777131
72,0.985664,0.168722,0.910883,-0.412664,0.186969,-0.494301,-1.000000,-0.824430
73,0.981989,0.188938,0.879489,-0.475919,0.013201,-0.199214,-1.000000,-0.958891
74,0.984852,0.173397,0.876347,-0.481681,-0.167905,0.131921,-1.000000,-1.096313
75,0.992092,0.125514,0.901903,-0.431938,-0.305369,0.412028,-1.000000,-1.159042
76,0.998326,0.057838,0.940592,-0.339540,-0.358107,0.564025,-1.000000,-1.135306
77,0.999948,-0.010239,0.972980,-0.230891,-0.305914,0.540739,-1.000000,-1.079298
78,0.998315,-0.058021,0.989985,-0.141172,-0.159824,0.349708,-1.000000,-1.045259
79,0.997511,-0.070516,0.994986,-0.100011,0.038211,0.056252,-1.000000,-1.028886
80,0.999067,-0.043194,0.992866,-0.119233,0.229051,-0.241532,-1.000000,-0.989382
81,0.999861,0.016665,0.981915,-0.189325,0.355113,-0.446000,-1.000000,-0.919868
82,0.995786,0.091710,0.959067,-0.283180,0.378435,-0.492196,-1.000000,-0.872544
83,0.987125,0.159951,0.930160,-0.367155,0.293441,-0.371815,-1.000000,-0.903314
84,0.979337,0.202233,0.909972,-0.414669,0.126930,-0.130908,-1.000000,-1.005853
85,0.978222,0.207561,0.910943,-0.412532,-0.073297,0.154386,-1.000000,-1.111296
86,0.984596,0.174846,0.932878,-0.360191,-0.251827,0.399518,-1.000000,-1.147097
87,0.993594,0.113008,0.962849,-0.270041,-0.357900,0.526035,-1.000000,-1.099942
88,0.999211,0.039706,0.985649,-0.168808,-0.359380,0.483103,-1.000000,-1.023457
89,0.999729,-0.023300,0.995805,-0.091498,-0.255686,0.273660,-1.000000,-0.974131
90,0.998343,-0.057550,0.997731,-0.067332,-0.079643,-0.040352,-1.000000,-0.948761
91,0.998547,-0.053883,0.994142,-0.108085,0.114051,-0.360639,-1.000000,-0.903908
92,0.999891,-0.014763,0.979034,-0.203696,0.266157,-0.584381,-1.000000,-0.831018
93,0.998911,0.046646,0.945896,-0.324469,0.331813,-0.637916,-1.000000,-0.788275
94,0.993842,0.110804,0.901495,-0.432790,0.296013,-0.505395,-1.000000,-0.842468
95,0.987342,0.158604,0.866418,-0.499319,0.175418,-0.229365,-1.000000,-0.992792
96,0.984206,0.177025,0.860450,-0.509535,0.007650,0.114967,-1.000000,-1.161944
97,0.986858,0.161591,0.887951,-0.459937,-0.159974,0.441837,-1.000000,-1.251652
98,0.993133,0.116991,0.934159,-0.356856,-0.278654,0.664416,-1.000000,-1.217928
99,0.998385,0.056805,0.974981,-0.222286,-0.309193,0.710236,-1.000000,-1.111521
100,1.000000,0.000534,0.995521,-0.094538,-0.238279,0.553347,-1.000000,-1.027867
101,0.999455,-0.033015,0.999905,-0.013818,-0.088074,0.236349,-1.000000,-1.004171
102,0.999469,-0.032582,0.999989,-0.004666,0.092339,-0.145852,-1.000000,-0.989818
103,0.999998,0.002059,0.997619,-0.068962,0.244826,-0.480681,-1.000000,-0.923901
104,0.998198,0.060012,0.982562,-0.185935,0.319351,-0.669482,-1.000000,-0.822838
105,0.992473,0.122463,0.948187,-0.317714,0.291073,-0.660838,-1.000000,-0.772147
106,0.985558,0.169338,0.905191,-0.425006,0.170536,-0.470895,-1.000000,-0.831648
107,0.982506,0.186230,0.875702,-0.482852,-0.003345,-0.167111,-1.000000,-0.973248
108,0.985818,0.167816,0.875707,-0.482843,-0.179741,0.164217,-1.000000,-1.109559
109,0.992975,0.118322,0.903838,-0.427875,-0.308914,0.436871,-1.000000,-1.166246
110,0.998705,0.050882,0.943350,-0.331798,-0.351696,0.575717,-1.000000,-1.137646
111,0.999888,-0.014981,0.975029,-0.222078,-0.290486,0.537485,-1.000000,-1.080905
112,0.998254,-0.059066,0.990968,-0.134101,-0.139113,0.334790,-1.000000,-1.047350
113,0.997729,-0.067360,0.995336,-0.096470,0.058643,0.036648,-1.000000,-1.028626
114,0.999335,-0.036462,0.992847,-0.119394,0.243513,-0.257944,-1.000000,-0.984772
115,0.999679,0.025328,0.981422,-0.191863,0.359473,-0.453131,-1.000000,-0.913871
116,0.994981,0.100064,0.958250,-0.285933,0.371430,-0.488011,-1.000000,-0.870624
117,0.986148,0.165867,0.929759,-0.368169,0.277057,-0.358935,-1.000000,-0.907258
118,0.978903,0.204327,0.910758,-0.412941,0.105589,-0.114925,-1.000000,-1.011546
119,0.978669,0.205442,0.912941,-0.408092,-0.094073,0.167073,-1.000000,-1.112519
120,0.985595,0.169125,0.935227,-0.354050,-0.266696,0.403081,-1.000000,-1.141287
121,0.994450,0.105207,0.964459,-0.264232,-0.363015,0.516703,-1.000000,-1.090594
122,0.999490,0.031934,0.986128,-0.165988,-0.353666,0.461263,-1.000000,-1.016114
123,0.999579,-0.029007,0.995588,-0.093829,-0.241311,0.244722,-1.000000,-0.970220
124,0.998205,-0.059886,0.997151,-0.075433,-0.061202,-0.067695,-1.000000,-0.945414
125,0.998616,-0.052593,0.992694,-0.120659,0.131049,-0.377299,-1.000000,-0.899991
126,0.999944,-0.010628,0.976015,-0.217704,0.276990,-0.583765,-1.000000,-0.831144
127,0.998642,0.052101,0.941831,-0.336087,0.334112,-0.618620,-1.000000,-0.798573
128,0.993266,0.115859,0.898483,-0.439008,0.290256,-0.471778,-1.000000,-0.862864
129,0.986809,0.161889,0.866723,-0.498790,0.164091,-0.189182,-1.000000,-1.015103
130,0.984065,0.177807,0.864789,-0.502135,-0.005722,0.153035,-1.000000,-1.174886
131,0.987138,0.159868,0.894861,-0.446345,-0.171330,0.469051,-1.000000,-1.248502
132,0.993534,0.113537,0.940743,-0.339120,-0.284072,0.672821,-1.000000,-1.202480
133,0.998591,0.053058,0.978887,-0.204404,-0.306402,0.695530,-1.000000,-1.095819
134,0.999998,-0.001888,0.996684,-0.081374,-0.228205,0.518252,-1.000000,-1.020501
135,0.999455,-0.033002,0.999960,-0.008916,-0.074589,0.190178,-1.000000,-1.002122
136,0.999551,-0.029955,0.999959,-0.009093,0.104191,-0.190962,-1.000000,-0.983885
137,0.999979,0.006497,0.996691,-0.081279,0.250458,-0.513148,-1.000000,-0.910621
138,0.997905,0.064696,0.979286,-0.202480,0.316080,-0.681383,-1.000000,-0.809431
139,0.992081,0.125603,0.942639,-0.333814,0.279460,-0.650991,-1.000000,-0.768778
140,0.985507,0.169634,0.899457,-0.437008,0.154265,-0.444719,-1.000000,-0.840997
141,0.983060,0.183283,0.872234,-0.489090,-0.019241,-0.133089,-1.000000,-0.989252
142,0.986766,0.162153,0.875574,-0.483085,-0.190600,0.197458,-1.000000,-1.123524
143,0.993792,0.111255,0.906236,-0.422772,-0.311370,0.461658,-1.000000,-1.173352
144,0.999020,0.044266,0.946380,-0.323055,-0.344313,0.586466,-1.000000,-1.139443
145,0.999815,-0.019216,0.977165,-0.212481,-0.274441,0.532732,-1.000000,-1.081733
146,0.998226,-0.059536,0.991959,-0.126561,-0.118342,0.318251,-1.000000,-1.048393
147,0.997970,-0.063679,0.995688,-0.092769,0.078500,0.015642,-1.000000,-1.027130
148,0.999568,-0.029377,0.992818,-0.119638,0.256850,-0.275363,-1.000000,-0.979145
149,0.999419,0.034079,0.980875,-0.194640,0.362394,-0.460886,-1.000000,-0.907485
150,0.994128,0.108211,0.957325,-0.289014,0.363008,-0.484236,-1.000000,-0.868888
151,0.985214,0.171331,0.929201,-0.369575,0.259609,-0.346427,-1.000000,-0.911475
152,0.978589,0.205823,0.911335,-0.411666,0.083770,-0.099349,-1.000000,-1.017183
