4.80e+02,1.09e+01,4.47e+01,4.47e+01,1.02e+02,1.20e+01,1.40e+01,4.47e+01
9.60e+02,1.62e+01,6.19e+01,6.19e+01,9.57e+01,1.20e+01,1.20e+01,6.19e+01
1.44e+03,3.75e+01,8.17e+01,8.17e+01,1.31e+02,1.20e+01,1.00e+01,8.17e+01
1.92e+03,4.32e+01,1.05e+02,1.05e+02,1.62e+02,1.30e+01,1.10e+01,1.05e+02
2.40e+03,7.35e+01,1.42e+02,1.42e+02,2.05e+02,1.20e+01,9.00e+00,1.42e+02
2.88e+03,9.22e+01,1.59e+02,1.59e+02,2.02e+02,1.20e+01,9.00e+00,1.59e+02
3.36e+03,1.01e+02,1.75e+02,1.75e+02,2.30e+02,1.30e+01,1.00e+01,1.75e+02
3.84e+03,1.38e+02,1.99e+02,1.99e+02,2.29e+02,1.40e+01,1.10e+01,1.99e+02
4.32e+03,1.47e+02,1.98e+02,1.99e+02,2.29e+02,1.40e+01,1.20e+01,1.99e+02
4.80e+03,1.62e+02,2.71e+02,2.71e+02,4.75e+02,1.50e+01,1.30e+01,2.71e+02
5.28e+03,2.04e+02,3.19e+02,3.19e+02,5.32e+02,1.60e+01,1.40e+01,3.19e+02
5.76e+03,2.23e+02,3.25e+02,3.25e+02,4.09e+02,1.60e+01,1.30e+01,3.25e+02
6.24e+03,2.54e+02,3.74e+02,3.74e+02,4.91e+02,1.80e+01,1.50e+01,3.74e+02
6.72e+03,2.70e+02,3.94e+02,3.94e+02,5.85e+02,1.80e+01,1.50e+01,3.94e+02
7.20e+03,3.10e+02,4.06e+02,4.06e+02,5.39e+02,2.00e+01,1.70e+01,4.06e+02
7.68e+03,3.12e+02,4.18e+02,4.18e+02,5.29e+02,2.00e+01,1.80e+01,4.18e+02
8.16e+03,3.23e+02,4.32e+02,4.32e+02,5.76e+02,2.00e+01,1.80e+01,4.32e+02
8.64e+03,3.30e+02,4.54e+02,4.54e+02,6.07e+02,2.00e+01,1.80e+01,4.54e+02
9.12e+03,3.46e+02,4.62e+02,4.62e+02,6.32e+02,2.20e+01,2.00e+01,4.62e+02
9.60e+03,3.63e+02,4.87e+02,4.87e+02,6.81e+02,2.30e+01,2.10e+01,4.87e+02
1.01e+04,3.78e+02,5.33e+02,5.33e+02,6.29e+02,2.30e+01,2.10e+01,5.33e+02
1.06e+04,3.96e+02,5.42e+02,5.42e+02,6.19e+02,2.30e+01,2.10e+01,5.42e+02
1.10e+04,4.12e+02,5.49e+02,5.49e+02,6.32e+02,2.30e+01,2.10e+01,5.49e+02
1.15e+04,4.31e+02,5.54e+02,5.54e+02,6.05e+02,2.30e+01,2.10e+01,5.54e+02
1.20e+04,4.50e+02,5.68e+02,5.68e+02,6.68e+02,2.40e+01,2.20e+01,5.68e+02
1.25e+04,4.57e+02,5.55e+02,5.68e+02,6.68e+02,2.40e+01,2.20e+01,5.68e+02
1.30e+04,4.63e+02,5.74e+02,5.74e+02,7.06e+02,2.40e+01,2.30e+01,5.74e+02
1.34e+04,4.65e+02,5.67e+02,5.74e+02,7.06e+02,2.50e+01,2.30e+01,5.74e+02
1.39e+04,4.73e+02,5.83e+02,5.83e+02,6.60e+02,2.60e+01,2.50e+01,5.83e+02
1.44e+04,4.70e+02,5.80e+02,5.83e+02,6.60e+02,2.40e+01,2.30e+01,5.83e+02
1.49e+04,4.79e+02,6.20e+02,6.20e+02,8.13e+02,2.50e+01,2.30e+01,6.20e+02
1.54e+04,5.17e+02,6.43e+02,6.43e+02,8.31e+02,2.50e+01,2.30e+01,6.43e+02
1.58e+04,5.50e+02,6.63e+02,6.63e+02,8.16e+02,2.50e+01,2.40e+01,6.63e+02
1.63e+04,5.51e+02,7.22e+02,7.22e+02,1.15e+03,2.50e+01,2.30e+01,7.22e+02
1.68e+04,5.77e+02,7.83e+02,7.83e+02,1.20e+03,2.35e+01,2.20e+01,7.83e+02
1.73e+04,6.23e+02,8.08e+02,8.08e+02,1.34e+03,2.40e+01,2.20e+01,8.08e+02
1.78e+04,6.55e+02,8.57e+02,8.57e+02,1.45e+03,2.40e+01,2.30e+01,8.57e+02
1.82e+04,6.92e+02,8.94e+02,8.94e+02,1.34e+03,2.40e+01,2.20e+01,8.94e+02
1.87e+04,7.23e+02,1.05e+03,1.05e+03,1.40e+03,2.40e+01,2.30e+01,1.05e+03
1.92e+04,7.60e+02,1.09e+03,1.09e+03,1.46e+03,2.40e+01,2.40e+01,1.09e+03
1.97e+04,8.77e+02,1.08e+03,1.09e+03,1.46e+03,2.50e+01,2.40e+01,1.09e+03
2.02e+04,8.95e+02,1.07e+03,1.09e+03,1.46e+03,2.50e+01,2.40e+01,1.09e+03
2.06e+04,9.18e+02,1.11e+03,1.11e+03,1.47e+03,2.50e+01,2.50e+01,1.11e+03
2.11e+04,9.31e+02,1.12e+03,1.12e+03,1.44e+03,2.40e+01,2.40e+01,1.12e+03
2.16e+04,9.34e+02,1.11e+03,1.12e+03,1.44e+03,2.50e+01,2.50e+01,1.12e+03
2.21e+04,9.36e+02,1.10e+03,1.12e+03,1.44e+03,2.50e+01,2.60e+01,1.12e+03
2.26e+04,9.33e+02,1.11e+03,1.12e+03,1.44e+03,2.60e+01,2.65e+01,1.12e+03
2.30e+04,9.39e+02,1.11e+03,1.12e+03,1.44e+03,2.60e+01,2.50e+01,1.12e+03
2.35e+04,9.28e+02,1.16e+03,1.16e+03,1.42e+03,2.60e+01,2.60e+01,1.16e+03
2.40e+04,9.19e+02,1.12e+03,1.16e+03,1.42e+03,2.60e+01,2.60e+01,1.16e+03
2.45e+04,9.43e+02,1.11e+03,1.16e+03,1.42e+03,2.60e+01,2.70e+01,1.16e+03
2.50e+04,9.30e+02,1.13e+03,1.16e+03,1.42e+03,2.60e+01,2.60e+01,1.16e+03
2.54e+04,9.48e+02,1.13e+03,1.16e+03,1.42e+03,2.50e+01,2.50e+01,1.16e+03
2.59e+04,9.41e+02,1.11e+03,1.16e+03,1.42e+03,2.50e+01,2.50e+01,1.16e+03
2.64e+04,9.44e+02,1.13e+03,1.16e+03,1.42e+03,2.60e+01,2.70e+01,1.16e+03
2.69e+04,9.48e+02,1.13e+03,1.16e+03,1.42e+03,2.70e+01,2.80e+01,1.16e+03
2.74e+04,9.47e+02,1.13e+03,1.16e+03,1.42e+03,2.60e+01,2.70e+01,1.16e+03
2.78e+04,9.51e+02,1.12e+03,1.16e+03,1.42e+03,2.70e+01,2.80e+01,1.16e+03
2.83e+04,9.54e+02,1.12e+03,1.16e+03,1.42e+03,2.60e+01,2.70e+01,1.16e+03
2.88e+04,9.45e+02,1.17e+03,1.17e+03,1.47e+03,2.60e+01,2.60e+01,1.17e+03
2.93e+04,9.51e+02,1.13e+03,1.17e+03,1.47e+03,2.50e+01,2.60e+01,1.17e+03
2.98e+04,9.56e+02,1.17e+03,1.17e+03,1.47e+03,2.50e+01,2.60e+01,1.17e+03
3.02e+04,9.48e+02,1.12e+03,1.17e+03,1.47e+03,2.50e+01,2.60e+01,1.17e+03
3.07e+04,9.65e+02,1.14e+03,1.17e+03,1.47e+03,2.50e+01,2.60e+01,1.17e+03
3.12e+04,9.63e+02,1.14e+03,1.17e+03,1.47e+03,2.50e+01,2.60e+01,1.17e+03
3.17e+04,9.64e+02,1.14e+03,1.17e+03,1.47e+03,2.50e+01,2.60e+01,1.17e+03
3.22e+04,9.67e+02,1.14e+03,1.17e+03,1.47e+03,2.50e+01,2.60e+01,1.17e+03
3.26e+04,9.55e+02,1.15e+03,1.17e+03,1.47e+03,2.50e+01,2.60e+01,1.17e+03
3.31e+04,9.69e+02,1.12e+03,1.17e+03,1.47e+03,2.50e+01,2.60e+01,1.17e+03
3.36e+04,9.65e+02,1.15e+03,1.17e+03,1.47e+03,2.50e+01,2.70e+01,1.17e+03
3.41e+04,9.59e+02,1.16e+03,1.17e+03,1.47e+03,2.50e+01,2.70e+01,1.17e+03
3.46e+04,9.68e+02,1.13e+03,1.17e+03,1.47e+03,2.50e+01,2.70e+01,1.17e+03
3.50e+04,9.52e+02,1.10e+03,1.17e+03,1.47e+03,2.60e+01,2.70e+01,1.17e+03
3.55e+04,9.55e+02,1.12e+03,1.17e+03,1.47e+03,2.50e+01,2.60e+01,1.17e+03
3.60e+04,9.57e+02,1.11e+03,1.17e+03,1.47e+03,2.50e+01,2.60e+01,1.17e+03
3.65e+04,9.45e+02,1.17e+03,1.17e+03,1.47e+03,2.50e+01,2.60e+01,1.17e+03
3.70e+04,9.74e+02,1.16e+03,1.17e+03,1.47e+03,2.50e+01,2.70e+01,1.17e+03
3.74e+04,9.62e+02,1.12e+03,1.17e+03,1.47e+03,2.50e+01,2.70e+01,1.17e+03
3.79e+04,9.63e+02,1.13e+03,1.17e+03,1.47e+03,2.50e+01,2.70e+01,1.17e+03
3.84e+04,9.44e+02,1.15e+03,1.17e+03,1.47e+03,2.60e+01,2.80e+01,1.17e+03
