step,cos_th1,sin_th1,cos_th2,sin_th2,dth1,dth2,action,reward
69,0.749142,0.662410,0.613045,-0.790048,0.376599,-1.689181,0.000000,-0.501424
70,0.763683,0.645592,0.445471,-0.895296,-0.589277,-0.285278,0.000000,-1.615313
71,0.878695,0.477384,0.520046,-0.854138,-1.415697,1.129802,0.000000,-2.160326
72,0.987972,0.154632,0.785147,-0.619309,-1.945672,2.366372,0.000000,-1.411964
73,0.969432,-0.245361,0.992173,-0.124871,-1.988994,2.889160,1.000000,-0.039715
74,0.818813,-0.574060,0.903595,0.428389,-1.556169,2.622963,-1.000000,0.217416
75,0.682873,-0.730537,0.685438,0.728131,-0.491954,1.073295,-1.000000,-1.086228
76,0.693580,-0.720380,0.645586,0.763688,0.635461,-0.541614,-1.000000,-2.493331
77,0.841196,-0.540730,0.826114,0.563504,1.662755,-2.143665,-1.000000,-2.384848
78,0.986867,-0.161535,0.999231,0.039202,2.335086,-3.293715,-1.000000,-0.246573
79,0.951702,0.307023,0.812543,-0.582901,2.284569,-3.089739,0.000000,1.188354
80,0.764699,0.644387,0.451957,-0.892040,1.536593,-1.648542,0.000000,0.385462
81,0.613512,0.789686,0.288409,-0.957507,0.538167,-0.124108,0.000000,-1.376658
82,0.614246,0.789114,0.403993,-0.914762,-0.551371,1.354897,0.000000,-2.844635
83,0.769634,0.638485,0.741521,-0.670930,-1.593809,2.826530,0.000000,-2.599337
84,0.957523,0.288359,0.998668,-0.051591,-2.311416,3.839920,-1.000000,-0.378387
85,0.986293,-0.165002,0.789815,0.613345,-2.153297,3.051623,-1.000000,0.689151
86,0.860821,-0.508908,0.441620,0.897202,-1.470323,1.425007,1.000000,0.037809
87,0.727119,-0.686511,0.287685,0.957725,-0.722620,0.223725,1.000000,-1.180077
88,0.686941,-0.726713,0.358940,0.933361,0.164778,-0.971570,1.000000,-2.384508
89,0.770550,-0.637380,0.627126,0.778918,1.044704,-2.120657,-1.000000,-2.739884
90,0.927252,-0.374438,0.953514,0.301349,1.972064,-3.660309,-1.000000,-0.815584
91,0.998496,0.054820,0.882883,-0.469593,2.278003,-4.011742,1.000000,1.337896
92,0.898317,0.439347,0.416661,-0.909062,1.658144,-2.419222,0.000000,0.919167
