5.18e+02,9.57e+02,4.60e+01,3.70e+01
5.09e+02,9.22e+02,4.80e+01,3.80e+01
7.39e+02,1.24e+03,5.30e+01,4.20e+01
6.95e+02,1.47e+03,4.80e+01,3.80e+01
7.76e+02,1.35e+03,5.30e+01,4.00e+01
7.39e+02,1.29e+03,5.40e+01,4.10e+01
6.02e+02,1.19e+03,5.20e+01,4.10e+01
6.56e+02,1.18e+03,5.00e+01,3.90e+01
6.50e+02,1.18e+03,4.70e+01,3.70e+01
6.31e+02,1.38e+03,5.10e+01,4.10e+01
6.44e+02,1.23e+03,5.20e+01,4.10e+01
5.59e+02,1.17e+03,5.10e+01,4.10e+01
8.25e+02,1.43e+03,5.20e+01,4.10e+01
7.05e+02,1.42e+03,5.10e+01,4.10e+01
6.33e+02,1.20e+03,4.80e+01,3.80e+01
6.54e+02,1.20e+03,4.70e+01,3.70e+01
6.69e+02,1.19e+03,5.40e+01,4.20e+01
6.18e+02,1.19e+03,5.50e+01,4.10e+01
5.63e+02,9.84e+02,4.80e+01,3.80e+01
5.81e+02,1.29e+03,5.00e+01,4.00e+01
5.12e+02,1.18e+03,5.00e+01,4.00e+01
7.35e+02,1.21e+03,5.10e+01,4.10e+01
6.30e+02,1.24e+03,5.50e+01,4.20e+01
7.27e+02,1.33e+03,5.20e+01,4.20e+01
6.51e+02,1.50e+03,5.30e+01,4.00e+01
7.16e+02,1.39e+03,5.00e+01,4.00e+01
6.59e+02,1.26e+03,5.40e+01,4.20e+01
5.17e+02,1.12e+03,5.00e+01,4.00e+01
5.97e+02,1.18e+03,4.80e+01,3.80e+01
6.25e+02,1.19e+03,5.40e+01,4.10e+01
6.31e+02,1.41e+03,5.10e+01,4.10e+01
5.89e+02,1.00e+03,5.40e+01,4.20e+01
5.21e+02,1.20e+03,5.20e+01,4.10e+01
5.89e+02,1.02e+03,5.10e+01,4.10e+01
7.75e+02,1.28e+03,5.10e+01,4.10e+01
7.28e+02,1.41e+03,5.50e+01,4.10e+01
5.47e+02,9.78e+02,5.70e+01,4.20e+01
6.03e+02,1.21e+03,5.20e+01,4.10e+01
6.22e+02,1.13e+03,5.20e+01,4.20e+01
6.18e+02,1.22e+03,5.50e+01,4.30e+01
6.46e+02,1.24e+03,5.00e+01,4.00e+01
6.71e+02,1.26e+03,5.20e+01,4.10e+01
6.24e+02,1.32e+03,5.40e+01,4.20e+01
6.24e+02,1.43e+03,4.80e+01,3.80e+01
5.72e+02,1.01e+03,5.20e+01,4.10e+01
6.40e+02,1.24e+03,4.60e+01,3.70e+01
4.89e+02,1.03e+03,5.30e+01,4.20e+01
6.05e+02,1.39e+03,5.00e+01,4.00e+01
7.90e+02,1.42e+03,5.50e+01,4.30e+01
7.77e+02,1.41e+03,4.90e+01,3.90e+01
6.65e+02,1.29e+03,5.00e+01,4.00e+01
7.23e+02,1.21e+03,5.60e+01,4.10e+01
6.62e+02,1.37e+03,5.30e+01,4.00e+01
5.95e+02,1.18e+03,5.50e+01,4.20e+01
6.56e+02,1.22e+03,5.00e+01,4.00e+01
6.27e+02,1.23e+03,5.10e+01,4.10e+01
6.82e+02,1.24e+03,5.10e+01,4.10e+01
5.67e+02,1.20e+03,5.10e+01,4.10e+01
6.38e+02,1.16e+03,5.00e+01,4.00e+01
5.80e+02,1.40e+03,4.80e+01,3.80e+01
7.05e+02,1.46e+03,5.00e+01,4.00e+01
7.20e+02,1.31e+03,5.50e+01,4.10e+01
6.42e+02,1.21e+03,5.40e+01,4.20e+01
6.45e+02,1.50e+03,5.20e+01,4.10e+01
7.65e+02,1.30e+03,5.20e+01,4.10e+01
7.00e+02,1.23e+03,5.10e+01,4.10e+01
-3.04e+01,2.44e+01,4.80e+01,3.80e+01
5.80e+02,1.11e+03,5.30e+01,4.00e+01
2.60e+01,1.22e+02,4.60e+01,3.70e+01
5.96e+02,1.22e+03,5.50e+01,4.20e+01
6.69e+02,1.44e+03,4.60e+01,3.70e+01
6.74e+02,1.17e+03,4.60e+01,3.70e+01
6.10e+02,1.40e+03,4.80e+01,3.80e+01
1.37e+02,2.51e+02,4.80e+01,3.80e+01
1.96e+02,8.95e+02,5.40e+01,4.10e+01
4.91e+02,1.20e+03,4.70e+01,3.70e+01
6.88e+02,1.20e+03,4.90e+01,3.80e+01
6.08e+02,9.83e+02,5.40e+01,4.30e+01
6.59e+02,1.16e+03,5.30e+01,4.20e+01
6.99e+02,1.44e+03,4.80e+01,3.80e+01
6.06e+02,9.84e+02,5.10e+01,4.10e+01
1.63e+02,1.11e+03,5.30e+01,4.20e+01
5.47e+02,1.18e+03,5.20e+01,4.10e+01
6.37e+02,1.24e+03,4.60e+01,3.70e+01
-2.68e+01,3.88e-01,5.00e+01,3.90e+01
6.54e+02,1.38e+03,4.80e+01,3.80e+01
6.58e+02,1.17e+03,5.40e+01,4.20e+01
7.22e+02,1.44e+03,5.30e+01,4.00e+01
6.18e+02,1.28e+03,4.80e+01,3.80e+01
5.64e+02,1.35e+03,5.30e+01,4.20e+01
6.64e+02,1.23e+03,5.20e+01,4.10e+01
7.76e+02,1.47e+03,4.90e+01,3.90e+01
7.12e+02,1.25e+03,5.40e+01,4.20e+01
7.61e+02,1.41e+03,5.00e+01,4.00e+01
1.34e+02,2.89e+02,4.80e+01,3.80e+01
7.16e+02,1.41e+03,5.50e+01,4.10e+01
6.32e+02,1.42e+03,4.60e+01,3.70e+01
-3.47e+01,2.31e+01,5.10e+01,4.10e+01
6.60e+02,1.22e+03,5.00e+01,4.00e+01
8.32e+02,1.47e+03,5.10e+01,4.10e+01
1.59e+02,2.67e+02,5.20e+01,4.10e+01
7.14e+02,1.43e+03,4.80e+01,3.80e+01
-3.49e+01,8.59e+00,5.40e+01,4.10e+01
6.65e+02,1.23e+03,5.30e+01,4.00e+01
6.63e+02,1.29e+03,5.00e+01,3.90e+01
1.35e+02,2.31e+02,5.10e+01,4.00e+01
6.49e+02,1.46e+03,5.50e+01,4.10e+01
5.95e+02,1.19e+03,5.60e+01,4.20e+01
5.65e+02,1.33e+03,4.60e+01,3.70e+01
5.75e+02,1.15e+03,5.00e+01,3.90e+01
6.04e+02,1.30e+03,4.80e+01,3.80e+01
7.07e+02,1.46e+03,5.00e+01,4.00e+01
