9.60e+01,-5.00e+02,-5.00e+02,-5.00e+02,-4.99e+02,1.60e+01,3.00e+01
1.92e+02,-5.00e+02,-4.64e+02,-4.64e+02,-2.87e+02,1.60e+01,3.00e+01
2.88e+02,-5.00e+02,-4.62e+02,-4.62e+02,-2.76e+02,1.60e+01,2.75e+01
3.84e+02,-4.94e+02,-4.51e+02,-4.51e+02,-2.09e+02,1.60e+01,2.80e+01
4.80e+02,-4.66e+02,-4.46e+02,-4.46e+02,-1.77e+02,1.60e+01,2.80e+01
5.76e+02,-4.65e+02,-4.36e+02,-4.36e+02,-1.15e+02,1.60e+01,2.80e+01
6.72e+02,-4.60e+02,-4.35e+02,-4.35e+02,-1.11e+02,1.60e+01,2.80e+01
7.68e+02,-4.47e+02,-4.33e+02,-4.33e+02,-9.68e+01,1.70e+01,3.00e+01
8.64e+02,-4.39e+02,-4.29e+02,-4.29e+02,-7.16e+01,1.70e+01,3.00e+01
9.60e+02,-4.37e+02,-4.29e+02,-4.29e+02,-7.14e+01,1.80e+01,3.10e+01
1.06e+03,-4.32e+02,-3.94e+02,-3.94e+02,-7.56e+01,1.90e+01,3.20e+01
1.15e+03,-4.31e+02,-3.66e+02,-3.66e+02,-7.59e+01,1.90e+01,3.30e+01
1.25e+03,-4.28e+02,-3.56e+02,-3.56e+02,-6.01e+01,2.00e+01,3.30e+01
1.34e+03,-3.87e+02,-3.51e+02,-3.51e+02,-4.05e+01,2.00e+01,3.40e+01
1.44e+03,-3.60e+02,-3.51e+02,-3.51e+02,-3.82e+01,2.00e+01,3.40e+01
1.54e+03,-3.87e+02,-3.49e+02,-3.49e+02,-4.37e+01,2.00e+01,3.50e+01
1.63e+03,-3.58e+02,-3.50e+02,-3.49e+02,-4.37e+01,2.00e+01,3.40e+01
1.73e+03,-3.55e+02,-3.03e+02,-3.03e+02,-4.49e+01,2.10e+01,3.55e+01
1.82e+03,-3.54e+02,-6.93e+01,-6.93e+01,-4.19e+01,2.10e+01,3.60e+01
1.92e+03,-3.19e+02,-4.36e+01,-4.36e+01,-3.89e+01,2.00e+01,3.60e+01
2.02e+03,-6.24e+01,-4.32e+01,-4.32e+01,-3.62e+01,2.10e+01,3.60e+01
2.11e+03,-5.25e+01,-4.41e+01,-4.32e+01,-3.62e+01,2.10e+01,3.60e+01
2.21e+03,-5.29e+01,-4.20e+01,-4.20e+01,-3.90e+01,2.10e+01,3.60e+01
2.30e+03,-5.30e+01,-4.33e+01,-4.20e+01,-3.90e+01,2.10e+01,3.70e+01
2.40e+03,-5.15e+01,-4.10e+01,-4.10e+01,-3.43e+01,2.10e+01,3.70e+01
2.50e+03,-5.15e+01,-4.18e+01,-4.10e+01,-3.43e+01,2.00e+01,3.75e+01
2.59e+03,-5.23e+01,-3.93e+01,-3.93e+01,-3.54e+01,2.10e+01,3.80e+01
2.69e+03,-5.05e+01,-4.05e+01,-3.93e+01,-3.54e+01,2.05e+01,3.90e+01
2.78e+03,-5.10e+01,-3.72e+01,-3.72e+01,-3.50e+01,2.00e+01,3.80e+01
2.88e+03,-5.19e+01,-3.93e+01,-3.72e+01,-3.50e+01,2.10e+01,3.80e+01
2.98e+03,-5.11e+01,-4.01e+01,-3.72e+01,-3.50e+01,2.00e+01,3.80e+01
3.07e+03,-5.04e+01,-3.83e+01,-3.72e+01,-3.50e+01,2.00e+01,3.80e+01
3.17e+03,-5.08e+01,-4.06e+01,-3.72e+01,-3.50e+01,2.00e+01,3.80e+01
3.26e+03,-5.19e+01,-4.13e+01,-3.72e+01,-3.50e+01,2.00e+01,3.80e+01
3.36e+03,-5.36e+01,-4.06e+01,-3.72e+01,-3.50e+01,2.00e+01,3.90e+01
3.46e+03,-5.21e+01,-3.83e+01,-3.72e+01,-3.50e+01,2.00e+01,3.90e+01
3.55e+03,-5.25e+01,-3.96e+01,-3.72e+01,-3.50e+01,2.10e+01,4.00e+01
3.65e+03,-5.21e+01,-3.98e+01,-3.72e+01,-3.50e+01,2.10e+01,4.00e+01
3.74e+03,-5.11e+01,-4.15e+01,-3.72e+01,-3.50e+01,2.10e+01,3.90e+01
3.84e+03,-5.19e+01,-4.15e+01,-3.72e+01,-3.50e+01,2.10e+01,4.00e+01
3.94e+03,-4.99e+01,-3.96e+01,-3.72e+01,-3.50e+01,2.00e+01,3.90e+01
4.03e+03,-5.10e+01,-4.05e+01,-3.72e+01,-3.50e+01,2.05e+01,4.00e+01
4.13e+03,-5.12e+01,-3.91e+01,-3.72e+01,-3.50e+01,2.10e+01,4.00e+01
4.22e+03,-4.97e+01,-3.84e+01,-3.72e+01,-3.50e+01,2.10e+01,4.10e+01
4.32e+03,-5.06e+01,-4.08e+01,-3.72e+01,-3.50e+01,2.10e+01,4.20e+01
4.42e+03,-5.00e+01,-4.01e+01,-3.72e+01,-3.50e+01,2.10e+01,4.20e+01
4.51e+03,-5.13e+01,-4.08e+01,-3.72e+01,-3.50e+01,2.10e+01,4.00e+01
4.61e+03,-5.07e+01,-3.95e+01,-3.72e+01,-3.50e+01,2.10e+01,4.10e+01
4.70e+03,-5.24e+01,-4.12e+01,-3.72e+01,-3.50e+01,2.20e+01,4.30e+01
