1.28e+02,-3.98e+01,1.70e+01,1.70e+01,2.67e+02,1.20e+01,1.20e+01,1.70e+01
2.56e+02,-1.97e+01,6.72e+01,6.72e+01,1.41e+02,1.20e+01,1.10e+01,6.72e+01
3.84e+02,-1.92e+01,6.73e+01,6.73e+01,1.41e+02,1.20e+01,8.00e+00,6.73e+01
5.12e+02,-1.69e+01,8.06e+01,8.06e+01,2.23e+02,1.20e+01,8.00e+00,8.06e+01
6.40e+02,-4.20e+00,8.18e+01,8.18e+01,2.23e+02,1.20e+01,8.00e+00,8.18e+01
7.68e+02,7.19e+01,8.94e+01,8.94e+01,2.23e+02,1.30e+01,1.00e+01,8.94e+01
8.96e+02,8.18e+01,9.07e+01,9.07e+01,2.23e+02,1.30e+01,1.00e+01,9.07e+01
1.02e+03,8.63e+01,9.16e+01,9.16e+01,2.23e+02,1.30e+01,1.00e+01,9.16e+01
1.15e+03,8.96e+01,9.70e+01,9.70e+01,2.23e+02,1.30e+01,1.00e+01,9.70e+01
1.28e+03,9.15e+01,9.70e+01,9.70e+01,2.23e+02,1.40e+01,1.00e+01,9.70e+01
1.41e+03,9.14e+01,9.71e+01,9.71e+01,2.23e+02,1.40e+01,1.00e+01,9.71e+01
1.54e+03,9.12e+01,9.71e+01,9.71e+01,2.23e+02,1.30e+01,1.00e+01,9.71e+01
1.66e+03,9.70e+01,1.11e+02,1.11e+02,2.84e+02,1.40e+01,1.00e+01,1.11e+02
1.79e+03,9.71e+01,1.28e+02,1.28e+02,3.62e+02,1.40e+01,1.00e+01,1.28e+02
1.92e+03,9.71e+01,1.28e+02,1.28e+02,3.62e+02,1.40e+01,1.10e+01,1.28e+02
2.05e+03,1.22e+02,1.36e+02,1.36e+02,3.62e+02,1.40e+01,1.10e+01,1.36e+02
2.18e+03,1.28e+02,1.56e+02,1.56e+02,4.74e+02,1.40e+01,1.00e+01,1.56e+02
2.30e+03,1.36e+02,1.57e+02,1.57e+02,4.80e+02,1.50e+01,1.10e+01,1.57e+02
2.43e+03,1.49e+02,1.62e+02,1.62e+02,5.15e+02,1.40e+01,1.00e+01,1.62e+02
2.56e+03,1.56e+02,1.63e+02,1.63e+02,5.15e+02,1.40e+01,1.05e+01,1.63e+02
2.69e+03,1.62e+02,1.70e+02,1.70e+02,5.63e+02,1.50e+01,1.10e+01,1.70e+02
2.82e+03,1.63e+02,1.70e+02,1.70e+02,5.63e+02,1.60e+01,1.30e+01,1.70e+02
2.94e+03,1.63e+02,1.70e+02,1.70e+02,5.63e+02,1.80e+01,1.40e+01,1.70e+02
3.07e+03,1.70e+02,1.72e+02,1.72e+02,5.78e+02,1.80e+01,1.40e+01,1.72e+02
3.20e+03,1.52e+02,1.72e+02,1.72e+02,5.78e+02,1.60e+01,1.20e+01,1.72e+02
3.33e+03,1.52e+02,1.72e+02,1.72e+02,5.78e+02,1.90e+01,1.50e+01,1.72e+02
