1.43e+02,2.65e+02,5.10e+01,4.00e+01
1.75e+02,1.22e+03,3.80e+01,3.30e+01
2.18e+02,6.99e+02,4.90e+01,3.90e+01
1.74e+02,1.18e+03,3.90e+01,3.30e+01
2.01e+02,7.14e+02,5.00e+01,3.90e+01
1.20e+02,8.51e+02,4.00e+01,3.40e+01
1.49e+02,1.04e+03,4.10e+01,3.40e+01
1.71e+02,1.10e+03,3.80e+01,3.30e+01
9.20e+01,5.96e+02,3.80e+01,3.30e+01
2.25e+02,9.83e+02,5.00e+01,3.90e+01
1.59e+02,1.03e+03,4.10e+01,3.40e+01
1.25e+02,1.01e+03,3.90e+01,3.30e+01
1.44e+02,2.78e+02,4.90e+01,4.10e+01
1.91e+02,6.61e+02,5.10e+01,4.10e+01
1.35e+02,9.32e+02,3.90e+01,3.40e+01
1.89e+02,6.57e+02,5.00e+01,4.10e+01
1.64e+02,4.75e+02,4.90e+01,4.10e+01
1.45e+02,9.42e+02,4.00e+01,3.40e+01
2.53e+02,8.47e+02,4.90e+01,4.10e+01
1.54e+02,1.01e+03,4.10e+01,3.40e+01
1.46e+02,2.63e+02,4.80e+01,4.00e+01
1.39e+02,5.46e+02,4.80e+01,4.00e+01
1.75e+02,1.18e+03,4.10e+01,3.40e+01
2.14e+02,8.02e+02,4.90e+01,4.10e+01
1.84e+02,1.19e+03,3.90e+01,3.30e+01
1.50e+02,4.05e+02,5.00e+01,3.90e+01
1.55e+02,1.02e+03,3.80e+01,3.30e+01
2.46e+02,9.84e+02,5.10e+01,3.90e+01
1.60e+02,1.03e+03,4.10e+01,3.40e+01
7.71e+01,6.18e+02,4.10e+01,3.40e+01
2.53e+02,8.38e+02,5.10e+01,4.00e+01
8.68e+01,7.10e+02,3.80e+01,3.30e+01
1.53e+02,9.66e+02,3.80e+01,3.30e+01
1.72e+02,5.24e+02,4.90e+01,3.90e+01
1.55e+02,1.02e+03,4.10e+01,3.40e+01
1.60e+02,3.77e+02,4.80e+01,4.00e+01
1.59e+02,1.16e+03,4.00e+01,3.40e+01
1.84e+02,5.81e+02,5.00e+01,4.00e+01
2.26e+02,8.61e+02,4.90e+01,3.90e+01
1.53e+02,9.79e+02,4.00e+01,3.40e+01
1.74e+02,1.12e+03,4.10e+01,3.40e+01
1.81e+02,1.13e+03,3.80e+01,3.30e+01
1.55e+02,1.04e+03,4.10e+01,3.40e+01
1.71e+02,6.91e+02,5.10e+01,4.00e+01
1.06e+02,7.04e+02,4.10e+01,3.40e+01
1.84e+02,4.71e+02,4.80e+01,4.00e+01
1.47e+02,8.73e+02,3.90e+01,3.30e+01
1.38e+02,4.82e+02,4.90e+01,3.90e+01
2.19e+02,7.42e+02,4.90e+01,4.10e+01
1.52e+02,9.59e+02,4.10e+01,3.40e+01
1.50e+02,1.02e+03,3.90e+01,3.30e+01
1.92e+02,7.20e+02,4.80e+01,4.00e+01
1.56e+02,1.04e+03,4.10e+01,3.40e+01
1.19e+02,2.25e+02,5.10e+01,4.00e+01
1.19e+02,8.91e+02,3.80e+01,3.30e+01
2.05e+02,8.10e+02,5.10e+01,4.00e+01
2.03e+02,6.78e+02,4.90e+01,4.10e+01
1.54e+02,9.51e+02,4.10e+01,3.40e+01
1.65e+02,1.20e+03,3.80e+01,3.30e+01
1.70e+02,1.02e+03,4.10e+01,3.40e+01
1.35e+02,1.01e+03,3.80e+01,3.30e+01
1.32e+02,2.54e+02,5.00e+01,4.10e+01
1.66e+02,1.07e+03,4.00e+01,3.30e+01
1.33e+02,3.50e+02,5.30e+01,4.10e+01
1.91e+02,1.21e+03,4.20e+01,3.50e+01
1.78e+02,1.14e+03,4.10e+01,3.40e+01
-9.62e+00,1.24e+02,3.90e+01,3.30e+01
1.88e+02,6.47e+02,5.00e+01,3.90e+01
1.81e+02,1.15e+03,3.80e+01,3.30e+01
1.87e+02,6.91e+02,5.00e+01,3.90e+01
1.93e+02,5.49e+02,4.90e+01,4.10e+01
1.52e+02,8.84e+02,4.10e+01,3.40e+01
1.93e+02,6.34e+02,4.90e+01,4.10e+01
1.79e+02,1.11e+03,3.90e+01,3.30e+01
1.65e+02,1.00e+03,4.10e+01,3.40e+01
1.74e+02,5.86e+02,5.00e+01,4.10e+01
2.00e+02,6.37e+02,5.10e+01,4.20e+01
1.95e+02,1.19e+03,3.90e+01,3.30e+01
1.52e+02,1.00e+03,3.80e+01,3.30e+01
