boot_mean_snn,boot_mean_ann,boot_diff,boot_ratio_pct_literal,boot_ratio_pct_signed
1043.04247459,1301.88333958,-258.84086499,80.11796778400247,80.11796778400247
1122.58324071,1261.4727692299998,-138.88952851999989,88.98989087138379,88.98989087138379
1158.01665952,1264.4640136300002,-106.4473541100001,91.58162249280524,91.58162249280524
1080.95632611,1160.8950754799998,-79.93874936999987,93.11404182355177,93.11404182355177
1108.15849227,1348.9059224399998,-240.74743016999992,82.15239282703138,82.15239282703138
1099.2535259600002,1316.73541684,-217.4818908799998,83.48325046181799,83.48325046181799
1116.0583252899999,1251.40518242,-135.34685713000022,89.18440973144583,89.18440973144583
1130.5684485,1351.1362579,-220.5678094,83.67538372903877,83.67538372903877
1070.89801983,1081.21793844,-10.319918609999831,99.045528358058,99.045528358058
1204.7442318600001,1354.3726697200002,-149.62843786000008,88.95219600887738,88.95219600887738
1132.60095248,1303.7338903099999,-171.13293782999995,86.87362972597819,86.87362972597819
1123.79049704,1172.85709159,-49.06659454999999,95.81648992858267,95.81648992858267
1156.4895717399997,1293.1521557899998,-136.66258405000008,89.43182490644254,89.43182490644254
1088.96602276,1217.29549969,-128.32947693000006,89.45782047475895,89.45782047475895
1136.99994893,1335.4402313499997,-198.44028241999968,85.14045947085211,85.14045947085211
1097.4254127799998,1291.14616731,-193.72075453000025,84.99621813279266,84.99621813279266
1145.97991814,1330.2413720099998,-184.26145386999974,86.14826919782385,86.14826919782385
936.2567510999999,1241.0296229599999,-304.77287186,75.44193416325702,75.44193416325702
1066.7475865,1352.00749609,-285.25990959,78.90101124328301,78.90101124328301
1043.98715294,1354.0456278399997,-310.05847489999974,77.10132742021322,77.10132742021322
1139.12597212,1302.70051042,-163.57453830000009,87.44342717365924,87.44342717365924
1105.6710597200001,1322.8216912900002,-217.1506315700001,83.5842855465851,83.5842855465851
1093.81394756,1318.6768404999998,-224.8628929399997,82.94783937702744,82.94783937702744
1107.0257563799998,1384.3627195499994,-277.33696316999954,79.966452487239,79.966452487239
1092.32378324,1350.1019675399998,-257.7781842999998,80.90676182261303,80.90676182261303
1124.1541005199997,1347.1031703,-222.9490697800004,83.4497405473146,83.4497405473146
1167.80451711,1223.9196360599997,-56.11511894999967,95.41513043040607,95.41513043040607
1133.76592108,1301.4243407,-167.6584196199999,87.11731336377025,87.11731336377026
1152.2878852000001,1304.93347557,-152.6455903699998,88.30242359264149,88.30242359264149
1093.4611653,1264.3777376199998,-170.9165723199999,86.48215899136879,86.48215899136879
1162.7749938599998,1272.6479987500002,-109.8730048900004,91.36658329735181,91.36658329735181
1125.3265667,1358.01023701,-232.68367031000002,82.86583827068112,82.86583827068112
1188.2995557000002,1280.81495817,-92.5154024699998,92.776833071798,92.776833071798
1074.9371723099998,1365.66811143,-290.73093912000013,78.71144997186953,78.71144997186953
1086.60528899,1326.9161258400002,-240.31083685000021,81.88952322077839,81.88952322077839
1154.12704192,1327.5550827100003,-173.4280407900003,86.93628286699987,86.93628286699987
1040.3822256800001,1234.7664755199999,-194.3842498399997,84.25740788288422,84.25740788288422
1052.89149525,1437.94444887,-385.05295362000015,73.22198684917267,73.22198684917267
1107.1467117599998,1397.81831117,-290.6715994100002,79.20533755444205,79.20533755444205
1145.3223286099999,1344.5563466299998,-199.2340180199999,85.1821741409826,85.1821741409826
1106.82818237,1349.92313265,-243.09495028000015,81.99194128907277,81.99194128907277
1171.32614595,1306.96452279,-135.6383768400001,89.6218776810827,89.6218776810827
1112.3275995400002,1307.70157667,-195.37397712999973,85.05974294016603,85.05974294016603
1226.06593544,1319.4225562400002,-93.3566208000002,92.92443346837715,92.92443346837715
1106.90886608,1275.8618900899999,-168.9530240099998,86.75773409941088,86.75773409941088
1129.29610888,1219.92132602,-90.6252171399999,92.57122445464043,92.57122445464043
1205.6758350500002,1440.43701539,-234.76118033999978,83.7020863924107,83.7020863924107
1116.24482631,1377.96869091,-261.72386460000007,81.00654490000353,81.00654490000352
1064.4214919600001,1231.4528245499998,-167.0313325899997,86.43623781113689,86.43623781113689
1077.85841355,1228.51026604,-150.65185249,87.73702942055066,87.73702942055066
1105.0312087999998,1237.8415928099998,-132.81038401,89.27080938454252,89.27080938454252
1110.50604122,1318.7873219,-208.28128068,84.20660577932115,84.20660577932115
1152.7997908999998,1193.77353284,-40.97374194000008,96.567712316211,96.567712316211
1133.4714496000001,1252.3991589999998,-118.92770939999969,90.5040091615073,90.5040091615073
1095.4253086699998,1301.0679590199998,-205.64265034999994,84.19431906501674,84.19431906501673
1102.5666084999998,1261.7153198,-159.1487113000003,87.38632171596143,87.38632171596143
1102.9179609599998,1302.1283779,-199.2104169400002,84.70116923023554,84.70116923023554
1056.5320654599998,1292.91504728,-236.38298182000017,81.71705230615915,81.71705230615915
1133.9771798699999,1309.03946792,-175.06228805000023,86.6266608196187,86.6266608196187
1140.5706660500002,1318.49885294,-177.92818688999978,86.50524522692955,86.50524522692955
1094.8423403,1252.3838119799998,-157.54147167999986,87.42067166846167,87.42067166846167
1097.9356356399996,1330.2580823899998,-232.32244675000015,82.5355357862138,82.5355357862138
1050.97186808,1408.0427596900001,-357.0708916100002,74.64062158960185,74.64062158960185
