9.60e+01,-5.00e+02,-5.00e+02,-5.00e+02,-4.99e+02,1.60e+01,1.70e+01,-5.00e+02
1.92e+02,-5.00e+02,-5.00e+02,-5.00e+02,-4.99e+02,1.60e+01,1.30e+01,-5.00e+02
2.88e+02,-5.00e+02,-4.25e+02,-4.25e+02,-5.13e+01,1.60e+01,1.20e+01,-4.31e+02
3.84e+02,-5.00e+02,-4.23e+02,-4.23e+02,-4.06e+01,1.60e+01,1.30e+01,-4.28e+02
4.80e+02,-4.27e+02,-4.22e+02,-4.22e+02,-3.59e+01,1.60e+01,1.20e+01,-4.28e+02
5.76e+02,-4.26e+02,-4.22e+02,-4.22e+02,-3.46e+01,1.60e+01,1.20e+01,-4.28e+02
6.72e+02,-4.26e+02,-4.22e+02,-4.22e+02,-3.46e+01,1.60e+01,1.20e+01,-4.28e+02
7.68e+02,-4.25e+02,-4.22e+02,-4.22e+02,-3.46e+01,1.60e+01,1.20e+01,-4.28e+02
8.64e+02,-4.25e+02,-1.34e+02,-1.34e+02,-3.47e+01,1.60e+01,1.20e+01,-1.62e+02
9.60e+02,-4.23e+02,-1.22e+02,-1.22e+02,-3.88e+01,1.60e+01,1.20e+01,-1.49e+02
1.06e+03,-3.50e+02,-1.21e+02,-1.21e+02,-3.57e+01,1.60e+01,1.20e+01,-1.47e+02
1.15e+03,-1.27e+02,-1.21e+02,-1.21e+02,-3.57e+01,1.60e+01,1.20e+01,-1.47e+02
1.25e+03,-1.28e+02,-1.19e+02,-1.19e+02,-3.78e+01,1.60e+01,1.20e+01,-1.46e+02
1.34e+03,-1.30e+02,-1.18e+02,-1.18e+02,-3.57e+01,1.60e+01,1.20e+01,-1.45e+02
1.44e+03,-1.27e+02,-1.18e+02,-1.18e+02,-3.57e+01,1.60e+01,1.20e+01,-1.45e+02
1.54e+03,-1.27e+02,-1.16e+02,-1.16e+02,-3.50e+01,1.60e+01,1.20e+01,-1.42e+02
1.63e+03,-1.28e+02,-1.16e+02,-1.16e+02,-3.50e+01,1.60e+01,1.20e+01,-1.42e+02
