2.09e+02,5.80e+02,4.70e+01,3.40e+01
1.28e+02,4.17e+02,4.30e+01,3.20e+01
2.34e+02,5.82e+02,4.50e+01,3.30e+01
2.15e+02,6.13e+02,4.50e+01,3.30e+01
2.38e+02,6.94e+02,5.00e+01,3.60e+01
1.94e+02,7.65e+02,4.90e+01,3.60e+01
2.13e+02,5.75e+02,4.20e+01,3.20e+01
2.02e+02,6.42e+02,5.10e+01,3.50e+01
1.96e+02,3.42e+02,4.30e+01,3.30e+01
2.27e+02,5.77e+02,4.90e+01,3.60e+01
1.85e+02,5.89e+02,4.50e+01,3.30e+01
2.00e+02,5.19e+02,4.50e+01,3.30e+01
1.75e+02,4.44e+02,4.20e+01,3.20e+01
2.53e+02,7.23e+02,4.40e+01,3.30e+01
2.25e+02,5.62e+02,5.10e+01,3.70e+01
1.16e+02,2.24e+02,4.30e+01,3.20e+01
1.81e+02,5.14e+02,5.10e+01,3.50e+01
2.04e+02,5.63e+02,4.90e+01,3.60e+01
7.13e+01,2.06e+02,4.70e+01,3.50e+01
1.93e+02,5.28e+02,4.20e+01,3.20e+01
1.77e+02,5.48e+02,4.60e+01,3.40e+01
2.08e+02,6.36e+02,4.30e+01,3.30e+01
1.38e+02,2.83e+02,4.50e+01,3.30e+01
1.98e+02,4.36e+02,4.70e+01,3.40e+01
1.75e+02,5.29e+02,5.10e+01,3.50e+01
1.69e+02,5.10e+02,4.50e+01,3.30e+01
4.47e+01,3.35e+02,4.30e+01,3.20e+01
1.74e+02,6.04e+02,4.60e+01,3.30e+01
1.73e+02,3.28e+02,4.80e+01,3.30e+01
2.26e+02,8.15e+02,4.30e+01,3.30e+01
1.30e+02,1.65e+02,4.60e+01,3.30e+01
2.00e+02,3.42e+02,4.80e+01,3.50e+01
1.97e+02,7.69e+02,4.20e+01,3.10e+01
1.68e+02,5.12e+02,5.10e+01,3.50e+01
1.55e+02,3.01e+02,4.30e+01,3.30e+01
1.25e+02,2.75e+02,4.90e+01,3.60e+01
1.03e+02,1.47e+02,4.40e+01,3.40e+01
1.74e+02,4.02e+02,4.10e+01,3.10e+01
-4.48e+01,-1.80e+01,4.30e+01,3.30e+01
2.21e+02,6.41e+02,4.90e+01,3.60e+01
1.13e+02,3.74e+02,4.70e+01,3.40e+01
2.42e+02,7.83e+02,4.60e+01,3.40e+01
1.98e+02,3.77e+02,5.10e+01,3.50e+01
1.73e+02,4.23e+02,4.90e+01,3.60e+01
1.05e+02,2.46e+02,4.30e+01,3.20e+01
1.68e+02,4.52e+02,4.50e+01,3.30e+01
1.85e+02,5.90e+02,5.10e+01,3.70e+01
2.04e+02,6.00e+02,5.10e+01,3.50e+01
1.57e+02,2.25e+02,4.50e+01,3.30e+01
1.51e+02,2.38e+02,4.30e+01,3.30e+01
1.70e+02,3.75e+02,4.50e+01,3.30e+01
1.89e+02,3.43e+02,4.70e+01,3.40e+01
1.54e+02,2.58e+02,4.70e+01,3.40e+01
2.22e+02,7.85e+02,4.70e+01,3.40e+01
2.16e+02,5.06e+02,4.50e+01,3.40e+01
2.39e+02,7.96e+02,5.00e+01,3.70e+01
1.47e+02,2.86e+02,4.80e+01,3.40e+01
1.34e+02,3.03e+02,4.60e+01,3.30e+01
2.00e+02,6.95e+02,4.20e+01,3.20e+01
1.50e+02,3.13e+02,4.50e+01,3.30e+01
2.07e+02,8.17e+02,4.60e+01,3.40e+01
9.97e+01,4.50e+02,4.70e+01,3.50e+01
1.33e+02,2.43e+02,4.90e+01,3.40e+01
1.30e+02,2.88e+02,4.70e+01,3.40e+01
2.09e+02,5.68e+02,5.10e+01,3.60e+01
2.33e+02,5.67e+02,4.20e+01,3.20e+01
1.09e+02,2.38e+02,4.40e+01,3.20e+01
2.63e+02,8.71e+02,5.00e+01,3.40e+01
2.21e+02,6.63e+02,5.00e+01,3.70e+01
2.77e+02,8.24e+02,4.70e+01,3.40e+01
1.81e+02,3.57e+02,4.40e+01,3.30e+01
2.32e+02,6.16e+02,4.70e+01,3.40e+01
2.33e+02,6.40e+02,4.20e+01,3.20e+01
2.24e+02,8.18e+02,5.00e+01,3.60e+01
1.04e+02,1.75e+02,4.50e+01,3.30e+01
2.40e+02,7.01e+02,5.30e+01,3.60e+01
1.81e+02,4.23e+02,5.00e+01,3.60e+01
1.84e+02,5.20e+02,4.60e+01,3.30e+01
1.86e+02,4.79e+02,4.50e+01,3.30e+01
1.57e+02,2.53e+02,4.90e+01,3.60e+01
1.91e+02,5.63e+02,4.40e+01,3.30e+01
2.25e+02,5.65e+02,5.00e+01,3.40e+01
2.24e+02,6.42e+02,4.20e+01,3.20e+01
1.45e+02,5.11e+02,4.90e+01,3.40e+01
1.43e+02,3.82e+02,4.60e+01,3.40e+01
1.82e+02,6.30e+02,4.60e+01,3.40e+01
1.78e+02,3.68e+02,5.10e+01,3.70e+01
2.20e+02,6.99e+02,4.30e+01,3.30e+01
1.59e+02,5.20e+02,4.60e+01,3.40e+01
2.51e+02,8.40e+02,4.40e+01,3.30e+01
2.19e+02,7.66e+02,4.40e+01,3.30e+01
2.04e+02,7.95e+02,4.00e+01,3.10e+01
2.36e+02,8.14e+02,4.10e+01,3.10e+01
1.96e+02,5.37e+02,5.30e+01,3.60e+01
2.03e+02,5.62e+02,4.40e+01,3.30e+01
1.85e+02,6.62e+02,4.20e+01,3.20e+01
2.26e+02,5.78e+02,4.20e+01,3.20e+01
2.46e+02,6.97e+02,5.00e+01,3.60e+01
1.63e+02,3.96e+02,4.40e+01,3.30e+01
1.72e+02,2.95e+02,4.20e+01,3.20e+01
2.31e+02,6.68e+02,4.90e+01,3.60e+01
1.82e+02,3.17e+02,4.60e+01,3.40e+01
2.47e+02,7.00e+02,4.30e+01,3.30e+01
1.58e+02,3.37e+02,4.90e+01,3.60e+01
1.72e+02,4.42e+02,5.20e+01,3.50e+01
1.97e+02,6.35e+02,4.90e+01,3.40e+01
2.04e+02,6.09e+02,5.00e+01,3.40e+01
2.02e+02,6.37e+02,4.30e+01,3.30e+01
1.72e+02,5.62e+02,4.30e+01,3.20e+01
2.18e+02,6.66e+02,4.80e+01,3.30e+01
3.57e+01,2.58e+02,4.80e+01,3.50e+01
2.20e+02,5.66e+02,4.80e+01,3.50e+01
2.28e+02,6.75e+02,4.70e+01,3.40e+01
6.64e+01,1.25e+02,4.60e+01,3.30e+01
1.92e+02,4.86e+02,4.90e+01,3.60e+01
1.42e+02,3.09e+02,5.10e+01,3.50e+01
1.50e+02,3.90e+02,4.50e+01,3.30e+01
1.84e+02,4.50e+02,5.00e+01,3.40e+01
2.42e+02,8.62e+02,4.70e+01,3.40e+01
1.28e+02,2.03e+02,5.00e+01,3.50e+01
1.77e+02,4.80e+02,4.40e+01,3.30e+01
2.54e+02,7.48e+02,5.10e+01,3.40e+01
1.48e+02,3.26e+02,4.70e+01,3.50e+01
1.56e+02,2.68e+02,4.50e+01,3.30e+01
1.65e+02,5.02e+02,4.30e+01,3.30e+01
2.35e+02,8.17e+02,4.30e+01,3.20e+01
2.36e+02,7.52e+02,4.50e+01,3.30e+01
2.56e+02,6.99e+02,4.70e+01,3.40e+01
