agent,n_episodes,mean,std,median,min,max
snn,100,1169.3930611699998,419.33489635950053,1304.041,1.630897,1495.968
ann,100,1286.4026392799997,682.7707029788177,1685.761161,-1.1223030000000003,1899.147873
