rank,mean,std,min,max,n_ok,orig_mean,orig_std,alg_probMoo,prob_addConn,prob_addNode,prob_enable,prob_mutAct,prob_toggleExcitatory,prob_initEnable,select_cullRatio,select_eliteRatio,select_tournSize,snn_window_ms,snn_tau_exc,snn_tau_inh,snn_ttfs_threshold
0,1322.5454545454545,212.09260413148016,850.0,1480.0,11,1010.9090909090909,320.95808279133723,0.34129217094417014,0.2028194356519075,0.2847055618423067,0.013053567488290738,0.25862376989916047,0.2233126822558999,0.7091836965846362,0.3509329570003148,0.10657071915514635,13,52,7.907365803133234,28.77831224293322,2.2446905353306902e-05
1,1449.090909090909,56.29467922540203,1320.0,1540.0,11,1149.7272727272727,176.92037243296258,0.17013028938894248,0.13944094317826944,0.3011766215422779,0.041028641900066914,0.35434469757402415,0.2466595125973718,0.3413491160247278,0.4331913246195807,0.0797480858583166,7,55,5.053030450521032,19.944593678006346,0.00015308205743852068
2,1431.8181818181818,75.47425810409557,1230.0,1520.0,11,1175.3636363636363,200.72482294289,0.24938291969101253,0.29700587877687196,0.13304829880258898,0.06321843436106112,0.496696004824719,0.2409283498407479,0.25126692175678167,0.34911772406775987,0.08920633685099419,4,57,5.270027605920598,15.585316874192625,7.593362409686424e-05
