trial,peak_fitness,alg_probMoo,prob_addConn,prob_addNode,prob_enable,prob_mutAct,prob_toggleExcitatory,prob_initEnable,select_cullRatio,select_eliteRatio,select_tournSize
0,-84.2,0.5573733515403917,0.11319665958415354,0.06545450439564907,0.17649047159964104,0.6747603019587766,0.1866190026554441,0.7830495254051981,0.16955729060279257,0.2739681885924668,4
1,-119.0,0.4553461954842389,0.3974453706393293,0.28078723414706924,0.02114497842480625,0.4274184665467946,0.24852139187878383,0.3516838304902572,0.42946683663767127,0.2465790935838476,13
3,-120.0,0.4726742864792856,0.1902143628463951,0.23810813351822785,0.012539492448565866,0.485371283513216,0.10859945807913396,0.6545579566814657,0.32500036509399527,0.12053437614218049,4
2,-84.5,0.08804741387609452,0.1868505715452738,0.14889874240917703,0.05785265694399281,0.4485725062586333,0.08856251964010253,0.20103223097180067,0.0898034994174777,0.18589113200959922,6
4,-86.4,0.4408859950752817,0.15991430233165366,0.3020726055505126,0.07753851238933376,0.49388399994067245,0.15082673187229753,0.7751551321358698,0.4566244259462368,0.1029047098621889,5
6,-84.5,0.35314907151163066,0.15635843701861787,0.13123425332229766,0.0055159353362726855,0.13683326691955935,0.25219712659520827,0.2843762133261878,0.10790025888924881,0.3447294216081501,8
7,-82.4,0.6831797361149854,0.05142209185145594,0.05803113932060569,0.22558053804167247,0.6976549800903332,0.030699480876544588,0.5763481110666278,0.23192164772333568,0.33179256424237086,12
8,-84.5,0.6641930272934536,0.3016560838011853,0.05534204989432187,0.23227774377103189,0.6626132301954636,0.2165473345277736,0.7889492944483669,0.22973771348782496,0.26168793162236087,16
9,-84.5,0.6950080320981721,0.052596632825211605,0.367574224433206,0.03308823890574946,0.2702546436876112,0.023841925502327634,0.5474778409850986,0.3256864431130374,0.36338996768941734,11
5,-84.8,0.18573975568317896,0.42717328280676087,0.18718847843273012,0.10282281083575397,0.30980775289006257,0.13598916327700006,0.3485836928865944,0.142996261292197,0.13168477895212424,3
10,-121.0,0.28791108354171807,0.2943409459552934,0.11308947050762813,0.1425388619814003,0.6078410187744043,0.022735672757542208,0.5047678427714495,0.24854986527698442,0.39518090855618476,16
11,-111.0,0.5910884077353337,0.4875286485232315,0.3999876366815134,0.05324132969695156,0.5758500214309566,0.06926406190544682,0.6207311086056614,0.3820784508709666,0.309632065466601,12
13,-120.0,0.5672344622256804,0.10960316652653251,0.052483289663436655,0.23056593257215255,0.6821114736535031,0.18708168344904072,0.6688054462577513,0.1693883036269731,0.29959807994340676,2
12,-84.5,0.2812972886416478,0.057687191156948446,0.21045666593810128,0.013200525608932126,0.2978807992814894,0.29567027058671913,0.4310890196546967,0.20019249121457466,0.19597753934772982,8
15,-119.0,0.6147851767709309,0.10883352509397735,0.16977430659623333,0.13839028539361137,0.6568790831233945,0.06346144370144087,0.5691596892944002,0.05522406998640261,0.28231649569311323,14
16,-84.5,0.5234821256185251,0.09934599242795114,0.08692681445021014,0.24673340871721655,0.5408500980353319,0.1284066648118759,0.45238738103166454,0.18689461867005,0.33795706809569603,7
14,-114.0,0.5650955535185332,0.23681086254244638,0.09424817398355873,0.14289070597016923,0.5756644289848637,0.19063948800347122,0.7090299495631135,0.29593605864559747,0.054708647897830504,10
17,-88.8,0.6459865394931248,0.2354132923955748,0.08461984225451707,0.09377816962992767,0.36905717876646393,0.17082357572713094,0.728291485683398,0.27450394662514394,0.21301743561168734,9
18,-84.5,0.6991074282037775,0.34795394341125224,0.25034117639778286,0.03528558199201464,0.6899176358568219,0.2195840665659889,0.6092891035589895,0.36998871450600457,0.3986874968777096,14
19,-119.0,0.5078499087854398,0.095982878718748,0.14604776736567995,0.16418719347579774,0.6281998451607835,0.05161370247465978,0.7274068733687062,0.13335070714817177,0.24732622310115643,10
