rank,mean,std,min,max,n_ok,orig_mean,orig_std,alg_probMoo,prob_addConn,prob_addNode,prob_enable,prob_mutAct,prob_toggleExcitatory,prob_initEnable,select_cullRatio,select_eliteRatio,select_tournSize
0,-97.92727272727274,17.10795668156141,-120.0,-79.3,11,-115.81818181818181,14.64799086440309,0.6831797361149854,0.05142209185145594,0.05803113932060569,0.22558053804167247,0.6976549800903332,0.030699480876544588,0.5763481110666278,0.23192164772333568,0.33179256424237086,12
1,-102.98181818181818,16.44881869204097,-120.0,-83.3,11,-120.0,13.66747965061591,0.5573733515403917,0.11319665958415354,0.06545450439564907,0.17649047159964104,0.6747603019587766,0.1866190026554441,0.7830495254051981,0.16955729060279257,0.2739681885924668,4
2,-88.71818181818182,10.123815306673487,-119.0,-82.9,11,-108.0909090909091,8.665501087121797,0.08804741387609452,0.1868505715452738,0.14889874240917703,0.05785265694399281,0.4485725062586333,0.08856251964010253,0.20103223097180067,0.0898034994174777,0.18589113200959922,6
